S,fit,comphet,landscape
1.8,0.133988179554935,0.325959767247308,1
2,0.169187158363876,0.209249755066159,1
2,0.288850094415247,0.13886025293283,1
2,0.280460934157273,0.333373867810303,1
2,1.89216711123026,0.0284343865489084,1
2,3.17751346934297,0.0988659353211404,1
2.6,1.10995033870627,0.103190723462986,1
3,1.16861551243206,0.0523005136700455,1
3,0.849131575806249,0.0288779652964912,1
3,1.1975430859574,0.00239569090290083,1
3,0.807630025333167,0.0524007215576528,1
3,1.24718606068358,0.00116117659768552,1
3,0.780956854551255,0.0088071856272063,1
2,0.960612958630998,0.0823899336481703,1
2,0.395498076842161,0.113857378230416,1
2,0.425526581770281,0.00509902810420189,1
2,0.639377433021171,0.191380820269698,1
2,1.59152213782729,0.016069165529069,1
2,0.885633226375488,0.0952092292703041,1
2.8,1.1958994483025,0.16407060583645,1
3,0.694412012157654,0.0156289411273244,1
2.8,0.452686884474469,0.1661621017524,1
2.4,0.672108017132779,0.122239902657146,1
2.8,0.631616598668738,0.0417010067976697,1
3,0.669411744247081,0.00763789686835025,1
3,0.877456331773986,0.0127817063540371,1
2,2.86788141185105,0.0223750004535212,1
2,0.309691056981655,0.132174264035415,1
2,0.414831097444252,0.176748196284492,1
2,0.729661834261213,0.096802470147796,1
2,2.36726120731226,0.0124238190943158,1
3,1.40217789487564,0.127686368741345,1
3.4,1.46958857810922,0.0905783334340467,1
2.6,0.705193534321519,0.0910685836243722,1
1.4,0.121921333906343,0.376307341188116,1
1,0.118706074691853,0.390880006354754,1
2,0.246211078279184,0.164612976008917,1
2.4,0.565774657068304,0.0627340194542945,1
2.8,0.62616549941736,0.0407394287608601,1
2,2.40524070692797,0.0103373184527867,1
2,0.335142062276288,0.113144227798062,1
2,0.25735398268979,0.329719448544925,1
2,0.752373374210325,0.112647999282237,1
2,2.29687817451986,0.0759643164482744,1
3.8,1.43074524666673,0.0492542281080343,1
3,0.835766328622941,0.0105218238495655,1
2.2,0.541963274995051,0.087932064072692,1
2,0.406546954580029,0.269338021766986,1
1.6,0.403897955154629,0.265495789641327,1
1.8,0.352168588945675,0.371304157419259,1
2,0.266289956578298,0.319572824887383,1
3,0.898653225245172,0.0191800071724504,1
2,0.832024245623991,0.177350517671848,1
2,0.259383964868642,0.329984284990005,1
2,0.470061597769016,0.241968379779992,1
2,2.21527490206459,0.00360654945741724,1
2.4,1.21367899708236,0.0542521694600478,1
3,1.14912345682773,0.0536202300605641,1
3,0.678468589168062,0.0301018270364407,1
2.8,0.496445637223523,0.0227720643466654,1
3,0.554776370149912,0.0418827738056919,1
3,0.847358097448999,0.0178173682714357,1
3,0.710034148069543,0.0872731385006711,1
1.8,0.211311130575406,0.273785476702413,1
3,1.10976205045759,0.00306400920304422,1
2,2.95180913910302,0.0151342377491995,1
2,1.15388592726788,0.0451378582521569,1
2,1.95731832972907,0.000282490475090692,1
2,3.37996438906156,0.0723951490009612,1
2.8,1.65455337148288,0.118764688249723,1
3,0.96648070288604,0.00700466721186377,1
3,0.752118483526495,0.00687993981530863,1
2.4,0.587159547401235,0.111066032104913,1
3,0.594344971352318,0.0203962159952116,1
3,0.756539487241294,0.0129094914466951,1
3,0.902105245289263,0.02259697100864,1
3,0.93539219728941,0.0266852223786407,1
3,1.04594422481255,0.050012836052006,1
2.2,2.36785679918889,0.0792426334035388,1
2,1.03615914471579,0.000269850174668619,1
2,1.0288114888839,0.0205407600912752,1
3,1.63277731240239,0.124030289633973,1
3,0.944026692347071,0.0268192639663506,1
3,0.912821410305297,0.0293895938169855,1
2,0.36160436876799,0.166705819531211,1
2,0.168115820792964,0.179344011120975,1
3,0.591492163217202,0.0148222434040808,1
3,0.717741150898631,0.0264171343555585,1
3,0.892584062700039,0.00787457542270264,1
3,0.792056500666625,0.010910865107273,1
3,0.849646117026012,0.0118728049125705,1
3,1.99975462183124,0.170719808993417,1
3,1.32369664387179,0.118141858643667,1
3,1.67315378387245,0.0846940526830066,1
3,0.670137565671727,0.0616558801337595,1
3,0.686414841539396,0.00571356818217286,1
3,0.586072702255974,0.0158865679700092,1
2.6,0.475923404943755,0.0752780359745221,1
1.6,0.445560589171581,0.315114612627378,1
2.8,0.509422601116077,0.0824139173204329,1
3,0.483124960682734,0.0399387880530725,1
3,0.81057146290641,0.0191665724011635,1
3,0.542278416751653,0.00495025892330732,1
3,0.772461693944545,0.0281084133509284,1
3.6,2.61890838764911,0.0631746517317959,1
3,1.07048283557046,0.0966161567362612,1
3.4,1.28018926365502,0.0398891518109215,1
3,0.808021864764424,0.0198716975946214,1
3,0.96644427669463,0.011521092950295,1
3,0.542443108950375,0.035093058983957,1
3,0.669259192952469,0.050615268388675,1
2,0.307180765979818,0.163601425811554,1
1.2,0.199565686571358,0.401882214687937,1
2,0.371180526708758,0.106979463484156,1
3,0.618073839625343,0.0368185050441663,1
3,0.607576733455783,0.0423050550240768,1
3,0.937957996266382,0.00650511679168577,1
3,1.20344039911482,0.0130244751456109,1
3,1.03945085810344,0.03085997674126,1
3,0.857976078559421,0.0392972989913274,1
2.6,0.646700865653554,0.0588428727465348,1
3,0.95094623855932,0.0179182670015515,1
3,0.682892062327894,0.0232835743288046,1
3,0.605587713138261,0.0137220595197187,1
3,0.525614898364572,0.0335219907187558,1
1,0.044184904835391,0.354727725706852,1
1.2,0.0301569425203124,0.411840504919711,1
2,0.4491762362452,0.0569582346921127,1
2.2,0.420466893509279,0.0521767629723443,1
2.8,0.723814705609096,0.036306625564869,1
3,1.14737558654902,0.00647022416644238,1
3,1.11600679758031,0.0121061189605304,1
