S,fit,comphet,landscape
1.2,0.061343740194849,0.339087781461914,1
2,0.194421625185899,0.333226613661116,1
2,0.146582595818202,0.147938048859515,1
1.6,0.0366714452303828,0.332754691225407,1
2,0.378157258933841,0.133906259882365,1
2,1.18259657966807,0.0219431216621596,1
2.4,0.457946258509692,0.105543288903723,1
3,0.796091004300997,0.00259112270401017,1
2.2,0.34764047318432,0.0224105763041316,1
2.6,0.388233024254266,0.0317052590952974,1
2.8,0.428691255691709,0.0184675541648229,1
3,0.512823812405357,0.0159796825143926,1
2.8,0.413743435794762,0.0525640860851288,1
2,0.343496158731149,0.233562298957573,1
2,0.331248179866295,0.126675833540448,1
2,0.215568868754289,0.0732476708139671,1
2,0.134976479711853,0.313238720416196,1
2,0.321754623194241,0.0237842011245115,1
2,0.733496389376711,0.00586276005169323,1
2.4,0.718050776890896,0.118519163487204,1
3,0.598374297524754,0.0179205859633775,1
2,0.575676419989943,0.131528636822434,1
2,0.379716467104825,0.0818826302011463,1
2.4,0.638898666549112,0.0253780517068603,1
3,0.610095766541582,0.0236733531490032,1
2.2,0.318049692025795,0.0622279009255669,1
2,0.392533059813092,0.0980569180619518,1
2,0.225454008599429,0.19471706893001,1
2,0.288091416428849,0.276676424698261,1
2,0.22339543724312,0.283433163143358,1
2,0.67903421354373,0.016892960196163,1
2.8,2.3315345499837,0.0909360738996399,1
3,1.93594462686708,0.0532228512084795,1
2,0.717425006957567,0.0571165313819739,1
1,0.022347104489114,0.228237572892398,1
1,0.0447488488803464,NaN,1
1.6,0.426222697345543,0.226346215475542,1
2,0.505958840889144,0.0430666522830981,1
2,0.425843463330567,0.00156641772529668,1
2,0.316744978815519,0.236070328655679,1
2,0.170744591291033,0.288047278744127,1
1.2,0.16381827217013,0.435178748464466,1
2,0.274389915886034,0.274055299506135,1
2,0.628042106863792,0.0694276747187233,1
3.4,1.18190338902101,0.0322957985387275,1
3,0.496171326805519,0.0345883201693936,1
2,0.348995819355775,0.0374219982737369,1
1,0.0553345405942195,0.214754944331311,1
1,0.0475577502180726,0.225520876181904,1
1.2,0.191553338974603,0.173415688809849,1
1,0.133399225986806,0.207949324135837,1
2,0.431420305267697,0.00121044153496631,1
2,0.167189213693349,0.297457157630504,1
1.4,0.0969914799333807,0.361238164969063,1
2,0.316401517759144,0.354149319121345,1
2,0.476719652380438,0.0508288310911578,1
2.4,0.550326447517661,0.0307926310845825,1
3.2,0.647140360338518,0.0314419467205046,1
2,0.342190520828029,0.00810546104222797,1
2,0.393891543812593,0.0039469401195151,1
2.2,0.331721700580712,0.0492773375533913,1
3,0.609603628805995,0.0161967320688837,1
3,0.573634802291979,0.0400562794950879,1
1.6,0.291194196615757,0.172445771008009,1
2.4,0.383294064393729,0.0213099267353414,1
2,0.346894387394963,0.168340485694952,1
2,0.223350475040273,0.222880802455521,1
2,0.284227497545249,0.140201071041521,1
2,0.439268462750663,0.000577201023314384,1
3,0.955543512722816,0.0622080184294721,1
3,0.662264391641005,0.035892129345426,1
2.2,0.377899538187878,0.0327609873710743,1
2,0.44160796246127,0.0691987198193686,1
2,0.405363081394359,0.019264599425995,1
3,0.440790365566639,0.0525513691076174,1
3,0.52091682473244,0.0185986111079077,1
2.8,0.317853168189913,0.0328644375940677,1
2.2,0.30002511329242,0.00952951290265435,1
2,1.61262076966153,0.061744430529321,1
2,0.377811314790943,0.0940078351602148,1
2,0.267489204379433,0.144593013685492,1
2.4,0.910713470148472,0.0880995936623688,1
3.8,0.944934381153651,0.0118367741326994,1
2.4,0.493741377703732,0.0149579087759743,1
2,0.226772490765795,0.147698743115549,1
1.8,0.28735550682206,0.211725180952881,1
2.2,0.35651384544746,0.022563978835294,1
2.6,0.398774133286409,0.00648572383650963,1
3,0.538898708367054,0.0407883016593349,1
3,0.522943373453488,0.0199651284703572,1
3,0.601902543008279,0.0278823877945483,1
2.2,1.29953111988734,0.124780171712095,1
3,0.674331746695172,0.103287815287554,1
3,0.474338154199719,0.0441930127724914,1
3,0.79689153246455,0.0495945199792637,1
3,0.554327871220924,0.0298820828578028,1
3,0.547899406209128,0.0320453910218671,1
2.2,0.494381893329033,0.0586174876310547,1
1,0.0176711842875605,0.211479648590875,1
2,0.557344131361413,0.0630675611299397,1
3,0.360102458461747,0.0110458627312711,1
3,0.424449216801024,0.0339199710004709,1
3,0.48074894415503,0.0339944484154628,1
3,0.52379974866215,0.0371061194327526,1
2.2,0.461351057300245,0.0637384704501665,1
2.2,0.612598838044239,0.0751135421511867,1
2.8,0.485598418095803,0.0239408620413714,1
3,0.679884479218684,0.0175010013257191,1
3,0.661659716776937,0.0473238415857326,1
3,0.591274343823663,0.039745963279324,1
3,0.557989091981234,0.025270627895065,1
2,0.149870355062339,0.128179803025186,1
1,0.125640085271738,0.222842528687628,1
2,0.490575197942239,0.0654181169677747,1
3,0.743249656958697,0.0347838461873516,1
3,0.520254272948335,0.0233553569251852,1
3,0.549824273774457,0.0466607507638336,1
2.6,0.451968203593858,0.026512133446231,1
2,0.267944860167307,0.0622638876571312,1
2.2,0.359137476854312,0.024219663729145,1
2.2,0.411057691188411,0.0424621055629893,1
3,0.594068348053848,0.050092307593043,1
3,0.395989509306054,0.0265859181233041,1
3,0.369406989542184,0.0648760640635601,1
2.4,0.363328886822938,0.0270202399900826,1
1,0.0211028530210188,NaN,1
1,0.0228784788701402,NaN,1
2,0.417849692089199,0.0986315780528384,1
2,0.413541192827401,0.0354726910267438,1
2.6,0.716917597928366,0.0474484617886438,1
3,0.60134346955303,0.0157231028914462,1
3,0.643885677746093,0.00807049186677641,1
3,0.574898228002457,0.0283049154016277,1
2,0.474801452411677,0.0814837461862249,1
3,0.457776734720813,0.0169346108308648,1
3,0.363466566959707,0.00941565338224574,1
2.8,0.348290082944575,0.0351377439190565,1
3,0.718381093346683,0.0169855833088209,1
1.8,0.23637042925996,0.095822602148999,1
1.2,0.131020498244357,0.206804249226494,1
2,0.577352267311989,0.0405345600102274,1
2,0.464743051163414,0.0528646325414208,1
2.6,0.510826979964892,0.00807888824088184,1
3,0.549550012661664,0.0102643287934666,1
2.8,0.435295292149446,0.0207869253554264,1
3,0.599774521193168,0.0146776155652785,1
2,0.611779335325505,0.1841298498737,1
2,0.652907757816528,0.115662227862124,1
2,0.360109341474265,0.19869925059378,1
2,0.527452326949969,0.0559777870719914,1
3,0.447334195455014,0.00985896196846064,1
2.8,0.588839220163655,0.0115845564297249,1
1.4,0.0918237191221377,0.157351619322924,1
3,0.523830915740066,0.0276557655346302,1
3,0.751517414836686,0.0094195519237594,1
2.6,0.755596881502479,0.0307194261840873,1
2,0.488753732809482,0.0173440387017947,1
3,0.702222251375347,0.0117230019787887,1
3,0.723495957658262,0.0461441673789896,1
1.2,0.236799357874457,0.203731425330046,1
1.2,0.144330773404162,0.324059038037868,1
1,0.0163093406970995,0.348734109594381,1
2,0.334691183604178,0.179322821651392,1
3,0.707116821297332,0.0149634074365071,1
3,0.582941769595593,0.0411738087419508,1
3,0.604515402833376,0.0141972376212358,1
3,0.615881678655492,0.00496438098891521,1
2,0.39521740498681,0.122766350988975,1
2,0.258126824064195,0.131815894001551,1
2,0.372284555403012,0.18892719010422,2
2,0.361065499354681,0.00611112099724759,2
2,0.281928551660571,0.00281319620628436,2
2.8,0.29159332947291,0.0602811310926104,2
2,0.180424582741039,0.0962437794211958,2
2,0.168355049850645,0.132429231621012,2
2,0.296009359260611,0.00135556574938553,2
2,0.608003114128921,0.0423566084777918,2
2,0.271450711778643,0.00943180368118036,2
3,0.365274085569418,0.0277240463990723,2
2.8,0.291021127093036,0.0878568137375485,2
2,0.257829861619353,0.0265522486405328,2
2.2,0.440927134431879,0.0194881057917035,2
1,0.0167480712921094,NaN,2
1.8,0.291611662114996,0.230691686618221,2
2,0.472291477971602,0.0729009195529704,2
2.2,0.263924678186307,0.050627464224178,2
2,0.270136053373657,0.169220638122596,2
1.4,0.0467498388815093,0.149107599150996,2
3,0.327127406361493,0.071031344458596,2
