S,fit,comphet,landscape
2,0.934692122443223,0.0479557286001196,1
2,0.830225572081553,0.0966542212358319,1
4,1.99799338917541,0.0482681414189879,1
3,0.5922794645236,0.038554379730496,1
3,0.734041059721344,0.00976843177911715,1
2,0.551330402084758,0.179007549808264,1
3,1.28911927795146,0.0521916878046884,1
4,0.90219254890343,0.0325075205134788,1
3,0.468964717084146,0.0221944560493572,1
3,0.656440634020695,0.0324967978206193,1
3,1.748602894295,0.0433297121155016,1
4,1.73567195549953,0.0189773043018856,1
3,0.64645312754561,0.0296388030461919,1
3,0.79050873460469,0.00859286400018561,1
3,0.82189834010657,0.00129619777017744,1
3.8,0.986638459651927,0.0474340732824852,1
3,0.718430600822052,0.00447472338999361,1
3,0.774161514929356,0.00190363134072761,1
3,0.318884848270023,0.0733934354868748,1
3,0.674623230807893,0.00898942797341354,1
3.2,0.923866207532359,0.0339223725692488,1
4,1.26000108049921,0.0695598829048283,1
4,1.5494876314261,0.0487323240631965,1
3,0.625632261418439,0.0135228833324974,1
4,1.29277823399015,0.0417013600570007,1
2,0.288481624607972,0.116963734001462,2
3,0.49359353689687,0.0168199497154313,2
3,0.522569966971264,0.0278498554643851,2
4,1.13519651568667,0.0069248633283057,2
4,0.895741138872373,0.0225866201370385,2
2,0.319575551577274,0.0440597811774672,2
2.8,0.383073911534908,0.0488142179943459,2
4,0.72165180505276,0.0141153049056728,2
4,1.09759559885778,0.00761387706332705,2
3,0.924807338172118,0.00771314114330191,2
3,0.471890129825326,0.0263246296319303,2
4,0.985536505050184,0.029242837263415,2
4,1.28130371756842,0.0370412835029429,2
3,0.956458540964312,0.0206875132014255,2
3,0.520631818697552,0.0644625718146037,2
3,0.442273041266689,0.0326534840109985,2
4,0.828532608067377,0.0262138256627804,2
3,0.601649140144666,0.0421561605785388,2
2,0.42140148169544,0.109271098976199,2
3,0.896835736128551,0.0132407244525814,2
2,0.376243511650855,0.109772552500536,2
4,0.834352792978789,0.0110316131352348,2
2.8,0.6323703192096,0.0192807304352111,2
3,0.765295939668341,0.000862646532108928,2
4,1.02931833495318,0.000657940354844652,2
2.6,0.583073832800411,0.067646146661631,3
3,0.951926795828697,0.0574081819223201,3
2,0.530630187343093,0.0765295211866932,3
2,0.315547199672519,0.17408432174721,3
2,0.577668396720795,0.0558142202592669,3
4,1.34324146028992,0.0197475707870453,3
4,1.24407256487048,0.0268804498786914,3
4,1.49289229172951,0.0547836508653798,3
4,1.25393158332727,0.0110113029392586,3
3,1.55188409116303,0.0343132892015621,3
3,0.709937240266035,0.014613481916573,3
3,0.563363367416162,0.062950162902789,3
3.2,0.873539247336186,0.00694547217113623,3
3,0.745854038670282,0.0194877800745989,3
4,0.930790247016761,0.0313450040776747,3
3,0.837497323448882,0.00363499988001008,3
3,0.535641839307804,0.0296648481947461,3
2.6,0.512831091179181,0.0908010463774388,3
3,0.704421126464216,0.0159141212149993,3
3,0.7940639497075,0.00305451825760081,3
3.6,0.992649733448089,0.00651202129840014,3
3,0.675367958876428,0.00665849308917546,3
3,0.649560016569439,0.0279514112360869,3
2,0.516206143531897,0.0630532500001476,3
4,1.09848159608458,0.00206118126743364,3
3,1.13802186873625,0.0178368853527214,4
3,1.59715281740981,0.0138873588664878,4
2,0.28777436790228,0.250369907728332,4
3,1.0372506370285,0.0239309099319198,4
3,2.32846292338525,0.0220517752840104,4
2.6,0.878448857699999,0.0213743170585967,4
3,0.983188440350747,0.0246685506986868,4
3,0.732907569909766,0.0492639982301264,4
3.6,0.964125892060545,0.0254088321148328,4
4,1.1336085329698,0.00753996284706766,4
3,1.32640573082957,0.0186665922349905,4
4,1.72160745435348,0.00336011817675425,4
4,1.12484998213127,0.0066398602390298,4
3,0.504022674217624,0.0422317967307761,4
3,0.454729355895298,0.0581572502896888,4
3,1.33894855763232,0.0212669981804869,4
3,0.666835802038451,0.0465127426951836,4
3,0.489635380105984,0.0347108380306354,4
2.2,0.451955214466269,0.0951266046012101,4
2.8,0.526968128876568,0.0522249079974014,4
3.2,1.43521288545676,0.0405189495469861,4
3,0.629915306165683,0.0538255232051288,4
3,0.450789787524776,0.0353660367688299,4
1.6,0.0598500286754318,0.238277819127297,4
1.4,0.0747725964205342,0.36936283172356,4
3,0.601544650740681,0.00692742036724619,5
4,1.30650343361834,0.0160807211301255,5
3,0.789640188430914,0.0143831530382146,5
3,0.575599638493958,0.0335299712342516,5
2,0.187643072859773,0.308650899652442,5
3,0.512349662572368,0.0151601979903107,5
4,0.731400177040595,0.00829561250027333,5
3,1.12696848577794,0.0334231968832316,5
3,1.82306106227318,0.0664306801892403,5
2.2,0.574115822121949,0.0864992287635953,5
3,0.492692230107223,0.0229377173146681,5
3.8,0.611925842995707,0.0188577572322616,5
4,1.47162428982547,0.0149216846433246,5
3,1.03034316700489,0.0547126837728534,5
2.8,1.01688759223102,0.0371665840911654,5
3,0.500033707674461,0.0307311856563151,5
3,0.525833646681861,0.00581110437493673,5
2.8,0.244168011696863,0.0830587062504628,5
3,0.492687102998862,0.0208831363470383,5
4,1.47974080238792,0.0185610361315694,5
3,0.522244178912574,0.0379903161462985,5
3,0.497570619813162,0.0212336802123115,5
2,0.379995452999841,0.0771204172709789,5
2,0.350656724553922,0.133001410049384,5
4,0.790630462672357,0.0109627676937815,5
3,0.4973861631515,0.0161521335352152,6
3,0.515810884122297,0.0406968048042479,6
3.8,0.725525755831083,0.0115353012775281,6
2,0.362130697129855,0.16713297891961,6
2,0.497714121292372,0.0762130380338107,6
3,0.406882607206633,0.0288202892899377,6
4,1.08596567934937,0.00472280844403298,6
3,1.04742360493156,0.0501495329331332,6
2.6,0.458044326398093,0.0408350086485433,6
2.2,0.485097654912082,0.0740911720394052,6
3,0.454128910378243,0.0384348196297888,6
3,0.577851479732223,0.0405009746465434,6
3.4,0.69204265239888,0.0152116219284001,6
4,0.826737731118034,0.0115223818560871,6
4,1.02677808494424,0.0146704113108528,6
3,0.571857923559804,0.00949911962605316,6
3,0.570822983962547,0.00721390942620564,6
3,0.600866832231953,0.0188030226409409,6
4,1.1530272355401,0.0246568596621927,6
3,0.683203712879165,0.0324969918069967,6
2.2,0.21420059645703,0.147932521170077,6
3,0.59649816567872,0.0176301775765267,6
3,0.527826657806386,0.0482423477428714,6
4,1.45437580030393,0.0139572063136513,6
4,0.918681879480398,0.0112779507514497,6
3,0.384450731368847,0.0142805362825351,7
3,0.999598869124233,0.0484387803849895,7
2,0.64697142240032,0.0934786468747106,7
2,0.931548984395278,0.000204535925682629,7
3,0.974964313948576,0.0793584840607033,7
3,0.225347079926638,0.0223325873566627,7
3.8,0.757380899810138,0.0515431406890438,7
4,0.908123023320131,0.0269894053441912,7
4,0.900192939361247,0.0363926023772619,7
2.2,0.430353038006353,0.0864432860292374,7
2,0.214066461642124,0.0421612444614317,7
2.8,0.282883702153826,0.0355797900235847,7
2.2,0.324347424501601,0.0690427541902517,7
3,0.402143239355021,0.0130096056734745,7
2,0.351195025274531,0.0207945857307826,7
3,0.323820215048489,0.0256505817056613,7
2,0.336791046282032,0.0470820673280241,7
2,0.303467204534734,0.00658049179026659,7
3,0.375630918621089,0.0149349840141774,7
3,0.352949426371177,0.0367261717986535,7
2,0.296205205593967,2.92831814986393e-05,7
2,0.232402137864058,0.164099208116885,7
2,0.320313341970347,0.0136429099321836,7
3,0.282944419773762,0.0752238139167234,7
3,0.478472465942457,0.00805147116473974,7
3,1.09796265694865,0.00766232619558134,8
2,0.321410123624166,0.0535930606969806,8
3,0.7802124932453,0.0129544196027293,8
3,0.595675655898533,0.0184034129079735,8
2.6,0.361321284204897,0.0221996577216328,8
3,1.23084415302149,0.0142952914161794,8
2,0.281293512989803,0.0679044633984737,8
3,1.32006554720417,0.0175740213493141,8
2,0.150504187406588,0.135330424711428,8
3,1.07345443414189,0.0144271741782687,8
3,1.02625802215647,0.010939176260345,8
3,0.940897090008279,0.0270432521306284,8
2,0.345849965866074,0.0052215017172466,8
3,0.488787371802596,0.0322245540962965,8
2,0.278279686720444,0.0575986177565873,8
3.6,1.33337773647783,0.0109634160848681,8
4,1.41451484361407,0.0136951214442678,8
4,1.34063907075392,0.00824763607029223,8
4,1.13003542960476,0.0200458243978839,8
4,1.19717771202366,0.0132756456898254,8
2,0.806788275547803,0.220963135881199,8
3,0.828461191810328,0.0727904140787775,8
3,1.31848579881888,0.0631117226856664,8
3,1.19540254308218,0.0569963766687305,8
3,1.26359247987575,0.0515605146401362,8
3,0.807277119532475,0.00660539735307358,9
3.8,1.35776339051288,0.0355124056576547,9
3,1.26821027512189,0.0580324430205188,9
2,0.327683387667131,0.138504067493457,9
2,0.359948190314409,0.0887831435687247,9
3,1.23766751577996,2.06654459260119e-05,9
4,1.36480139759634,0.0455724406682001,9
3,0.919976779878521,0.0506734995771407,9
2,0.518755087973978,0.0190520363868391,9
2.4,0.824630958942818,0.0631362176570958,9
3,0.665931697713988,0.0636766739636966,9
4,1.74730175622047,0.0342590889731055,9
4,1.26042736448022,0.0188823617422139,9
4,1.47547375437281,0.0331577721726785,9
4,1.34094840248016,0.0327953030493733,9
2,0.551223545041849,0.188708026268406,9
3,1.03003607551847,0.00309499636800587,9
3,1.02638371927225,0.032086064168044,9
3,1.09511130119501,0.00680367108752283,9
3,1.29811548814204,0.0364179694834312,9
2.6,0.634331382108374,0.083634069115402,9
3,0.93515615942204,0.0275717828935207,9
3,0.939737589777316,0.0128632240148216,9
3,0.977513102591307,0.0086425288951014,9
3,0.715169155871707,0.0364552379331212,9
4,1.10710430036955,0.0192823061679985,10
4,1.1233015603924,0.0249624606117183,10
4,1.04292993589802,0.00349448741303987,10
3,0.812378778324621,0.0295128381751783,10
3,0.960576475761182,0.014696390071226,10
3,0.565311227275819,0.0082962364053691,10
4,0.926871242295041,0.00608073537434139,10
2.4,0.518953336436809,0.0334999964572663,10
2,0.332038814885072,0.0937123665354036,10
2.2,0.359997324587188,0.102488961550976,10
3,0.536153214096872,0.0183622517339251,10
4,0.612726583019946,0.0175153090910568,10
4,1.00838131444587,0.00343205525205726,10
4,1.04810808256526,0.00755451588639381,10
3,0.48227390179152,0.0262163040679098,10
3,0.498676182282312,0.0179388225976637,10
3,0.533723875958269,0.00765809653715743,10
3,0.473420334210809,0.0277961092587036,10
4,1.17386034910453,0.00329334513749936,10
4,0.680746762029916,0.0101247352995423,10
3,0.565532104210494,0.0149880250175379,10
2.4,0.449242953821908,0.0600597801832757,10
2,0.452647958914711,0.203956186384409,10
3,0.478130915956494,0.0197009821895695,10
3,0.512502388250997,0.021852654652537,10
3.2,0.786561591846866,0.0247994953752615,11
3,0.567935950825533,0.00758784631023874,11
3,0.527323935494181,0.048358362102903,11
3,1.40776148582097,0.0351001285345975,11
2.2,0.322484613332995,0.136045263049141,11
2.6,0.565980490924536,0.0341624981804995,11
3,0.485413276700855,0.03741896298715,11
3,0.519317513430843,0.0294138522118351,11
3.8,1.89136506429185,0.0501968532669612,11
2.4,0.739446491873241,0.113348104388178,11
2,0.51760490614185,0.0433197279024754,11
2.2,0.435152698339217,0.0997625233953063,11
3,0.655584920235488,0.0184127793923795,11
4,1.04324586181177,0.0109506916373761,11
2,0.798095985167074,0.0739021326127688,11
2,0.270098121307285,0.103718733169202,11
2,0.451838904918427,0.00544809372607743,11
3,0.50433466823946,0.0281923587876273,11
4,1.07980156336375,0.0213069848134005,11
3,1.28582386251426,0.0504155838403186,11
2,0.168911918103502,0.17869054642776,11
2.8,0.427635935471316,0.0260050085315554,11
4,0.95403164760788,0.0169943843285508,11
4,1.23470459498862,0.0281413984952911,11
2,0.642499459301459,0.0807739972305535,11
2,0.277964344374199,0.0415228904975234,12
2,0.075383702323309,0.0184618328974711,12
2,0.0994794919433534,0.202899114990903,12
3,0.662236256556339,0.021109296613604,12
2.4,0.296732213041212,0.0377236947067099,12
3,0.576246865582975,0.0214526142362334,12
3.6,0.713076911689837,0.0238088769303728,12
2,0.254437095119313,0.0280779244000063,12
4,0.800703678278914,0.0157647091222341,12
3.8,0.855470989459892,0.0134286651872844,12
3.2,0.828959307505748,0.0439309941338233,12
3.2,0.99801217895256,0.0440306754517096,12
4,0.737304669619996,0.0334876366345337,12
4,0.855884891355862,0.0185680094059219,12
3,0.622696974917524,0.017681559547361,12
3,0.618387996562749,0.0282509448749654,12
3.6,0.607475737678372,0.0135770925146223,12
3,0.571206632779625,0.0164031119062406,12
4,0.790473769517756,0.0313073749764025,12
4,0.380417719653985,0.0466464150399847,12
3,0.663994497672407,0.0203229061944936,12
2,0.612704336890603,0.11968663890541,12
2,0.58852116097464,0.06924674974256,12
4,0.906222151009173,0.0141785779511899,12
3.6,0.356999650630984,0.0286014814275496,12
3,0.67020102007164,0.0156075613574793,13
3,0.738039741958245,0.00724067365466256,13
4,0.959896198694945,0.0152775320936091,13
2.2,0.452187595259719,0.0893534714782947,13
2,0.311830713485834,0.214278815695836,13
3,0.434543566988099,0.0767255141197809,13
3.2,0.779477213818053,0.0251605385554464,13
4,1.24334406740352,0.0161698170560233,13
3.8,1.30283743721349,0.0294438908360164,13
2,0.290431392760523,0.157636016452928,13
3,0.728713684210006,0.0242341713059176,13
4,1.09075190719722,0.0252243142363619,13
4,1.40093782109642,0.0259918788104769,13
3.2,1.04869680948822,0.0119110609098043,13
2,0.468331566904518,0.0412436461602676,13
2,0.295318610986853,0.264078878083684,13
4,0.782370603837159,0.0125622498608366,13
4,0.953433944219133,0.0198917743086502,13
4,1.17151736609766,0.009608140213134,13
4,1.37038924802282,0.0142808965464419,13
1.4,0.0489484868344098,0.375396445579291,13
3,0.445403860986088,0.0530493946673631,13
4,1.05738557771036,0.0124187150480692,13
3.2,1.01444488244529,0.0331606331364902,13
4,1.65344682301278,0.0190867091139608,13
3.8,0.823002026650878,0.00638849750287838,14
4,0.64043852905399,0.0217408610656335,14
3,0.507567045310777,0.0326823153569669,14
2.8,0.446927415187997,0.0175550600975922,14
2.6,0.383805907077615,0.0430676174407609,14
3,0.594729547277782,0.0247464019318955,14
3,0.675569755414662,0.0434712641687903,14
3.8,0.672791182307855,0.0506496370720144,14
3,0.478362261262819,0.016353156145044,14
2,0.263511233190247,0.0522566902453202,14
3,0.627430737942872,0.0396894752308187,14
3,0.767013716956262,0.00500124743642579,14
4,0.645845418740856,0.0441648716695382,14
2,0.189324198825446,0.0828935202262222,14
2,0.206894386691671,0.147599050854269,14
3,0.585135813024993,0.0619165546316497,14
3,0.770610365684491,0.0164985831443172,14
4,0.793128511113114,0.0132486318303669,14
2,0.188112390909811,0.0819986626083334,14
1.8,0.118219511339474,0.347094150884983,14
3,0.740899215931561,0.00217470665717423,14
3,0.787360948435374,0.0048451939472207,14
4,0.576301043143842,0.0340724535716817,14
2,0.232457178749665,0.149701805086387,14
2,0.326358746465563,0.0167940624298989,14
3,2.29670981369766,0.0281084297101296,15
3,2.04690458129636,0.0153152048953311,15
4,1.90763615502974,0.0170536894910916,15
3,0.454559340467976,0.0248247711703746,15
3,0.625383664531978,0.0182599863650528,15
2,1.39181365052367,0.0323801381677299,15
2,0.888416651713926,0.0644147831487177,15
4,1.83402947523351,0.0046828052882244,15
3,0.410008540318885,0.0446108585092246,15
3,0.490694966854693,0.0354457708314847,15
2.2,0.691982218644295,0.144104738421889,15
3.2,2.01701310527838,0.0308486988472386,15
3,1.91374456991351,0.0209070272195925,15
4,0.968016134290433,0.0273623249586279,15
3,0.505764620959977,0.0297503064062796,15
4,1.51232260467825,0.0132615832710668,15
4,1.26442977164495,0.0258574802740636,15
4,1.69457111897061,0.00854224600793707,15
3,0.615326602501524,0.0443692721237441,15
2,0.374230180166348,0.10768389272945,15
3,0.589620948657376,0.0349431725666744,15
3,0.62003925668578,0.011818581199161,15
2,0.495861311702771,0.0453146681605776,15
2,0.111935849456012,0.211476105580257,15
2,0.211925107208823,0.128846597398595,15
4,1.04596020802015,0.0306860633115903,16
3.4,1.55068493146414,0.0114055310448511,16
3,0.970160521252197,0.0271981671903184,16
4,1.32312187633961,0.012363328174047,16
3,1.22452757914151,0.00877105694676927,16
3.8,1.0516858959391,0.0149772232431013,16
4,1.07030851629342,0.0322611811598778,16
3,1.00804048497312,0.0219828182215974,16
2,0.260467853800887,0.170892246254874,16
2,0.280803642901071,0.161585547679332,16
2,0.598011940592911,0.161718954862084,16
3.8,0.667182959725878,0.0321160579965971,16
3,1.03192706501592,0.0376496960024275,16
3,1.13900723368316,0.0216724502629806,16
2,0.626561912446169,0.000206110819222686,16
2,0.493523073878371,0.130621111888526,16
3,0.638381679593565,0.0399439637219809,16
4,1.27511546934427,0.0104308464502308,16
4,0.836269141737941,0.0215980344950257,16
4,1.18268050438197,0.0135725706081686,16
2.4,0.496062626489643,0.0253377846980808,16
2,0.681264953151275,0.148343415271868,16
4,1.2283924330909,0.0194199568738064,16
3,0.746724726508355,0.0439112315975959,16
3,0.520799498741522,0.0549014322292469,16
3.6,0.84378369778455,0.0168372950475057,17
3,0.702335094413161,0.0643900310784407,17
3,1.29317771356319,0.0368753701276533,17
3.4,1.17778662495115,0.00734526371036053,17
2.2,0.423750098455868,0.103747097245539,17
3,1.37184678124046,0.0210258244546843,17
3,0.77343950404061,0.0308004248640822,17
3,0.930583308568349,0.0307950633307967,17
3,0.389889392133919,0.0721080378215327,17
3,0.79555931120538,0.0259461635181004,17
4,1.06180151014566,0.0132477236912112,17
3.6,0.885074473031336,0.0432012843313785,17
3.8,0.927905334478776,0.0196302588908739,17
3.8,1.46300844607532,0.0435183414557356,17
3,1.58401205350537,0.0420877337001658,17
2.2,0.748227567513895,0.0211805302938344,17
2,0.714575462910632,0.077121936398819,17
3,0.599491100660826,0.0245785570397719,17
3.2,0.882278610223769,0.0316219355151863,17
3,0.699190616444363,0.0120690390336462,17
2.6,0.606112564122195,0.0336836418395268,17
2,0.179785485626415,0.23051591664338,17
3,0.821623190419703,0.014327118250004,17
3.2,0.817545249134137,0.0549293588178989,17
4,1.17932236935235,0.0242153922132497,17
2.6,0.587282999727752,0.152188299792164,18
4,0.957783584561096,0.00485928422412432,18
2,0.292013382025035,0.0737449750883679,18
2,0.18847627824245,0.18401749038889,18
2,0.380459332447481,0.00118906890951211,18
3,0.736784033011362,0.0549583077225605,18
4,1.18079049778005,0.00648412422501252,18
2.2,0.425448907185889,0.0400412197007744,18
2,0.306453607445826,0.0940066518296438,18
2,0.349207711097385,0.0786642987963523,18
4,1.11778000781598,0.0180866282538863,18
3.4,0.716971154480943,0.0194544305380534,18
4,1.09516294251442,0.0154047046496937,18
3,0.960537029704701,0.05066419403622,18
2,0.417449916082691,0.0946414209655042,18
3.2,0.90944586472655,0.0343914989147065,18
4,0.960508314474614,0.0346569058747076,18
3.2,0.740351938991165,0.0379715701154278,18
4,0.936183862954578,0.0697709475815202,18
3,0.645830966475551,0.0363568385727334,18
3,0.75645469421038,0.035510277540463,18
3,0.884185457189171,0.0217966210100956,18
3,0.843073129470964,0.0295104413354504,18
3,0.920690590539836,0.00443964688783721,18
4,1.06979687992669,0.0178588065512215,18
4,0.838057153664458,0.0132425525825217,19
4,0.789279058127382,0.00473536373762915,19
2,0.23816066449357,0.0839174624204399,19
2,0.117841062130595,0.29803041154872,19
2,0.152829161237096,0.229360526812434,19
3,0.591975283802485,0.0268055455059412,19
3.8,0.708219665574699,0.0245665176286358,19
2.6,0.420626051681188,0.0530524466346573,19
2,0.189312224994648,0.0820258993433396,19
2,0.328715239424348,0.0815047081411347,19
3,0.601410671351868,0.0454931787654216,19
2.6,0.649781057276425,0.110069023609126,19
2.6,0.450057614162137,0.0486873091174919,19
