S,fit,comphet,landscape
3,1.04762240398977,0.0162168778673864,1
3,1.07701512968768,0.0398481729065577,1
3,0.809500218768905,0.0123005227282893,1
3,0.890602128016325,0.0290407989242677,1
3,0.688613936535179,0.00629788341065249,1
3,0.6904144590112,0.0471230680877703,1
3,0.797089533302685,0.0302089899055316,1
3,0.58468056908491,0.0357343470388911,1
3,0.484523312414879,0.0307702052156161,1
3,0.690632784256437,0.018212199997595,1
3,0.666598094234863,0.0161946912370705,1
3,0.822630146312509,0.0202576428086695,1
3,0.765153800955139,0.0176988195821152,1
3,1.01429072527968,0.0253812309144153,1
3,0.80022817346909,0.0259376878920216,1
3,0.653496878394984,0.0134711707880327,1
3,0.909186992363206,0.00923648049920228,1
3,0.685954893158182,0.0200924975470157,1
3,1.20122061762887,0.0434601973669609,1
3,0.89294396200015,0.020336438846397,1
3,0.851642439708272,0.0237804246216752,1
3,0.723824255897214,0.0175097157766093,1
3,0.623778058135922,0.0134224664314155,1
3,0.623872013013862,0.00830120673873106,1
3,0.858665822664684,0.0326371876890528,1
3,0.629938769738282,0.0271198948645226,1
3,0.788725131548079,0.0405614309439937,1
3,0.870378125605237,0.0284391129110989,1
3,0.658238905551803,0.0141842988831777,1
3,0.856632322083501,0.00787158562418735,1
3,0.895078604836926,0.020787857524326,1
3,0.979160986135996,0.0414746505950951,1
3,0.778026299839357,0.0339736512130799,1
3,0.668888825883844,0.0346651307379659,1
3,0.918739865268358,0.0236161807691792,1
3,1.12273886250412,0.0252195563354114,1
3,0.934888447638648,0.0320003335957753,1
3,0.787088426881194,0.0258335858849366,1
3,0.779480069929526,0.050951174954687,1
3,0.707426486309271,0.0365564789911811,1
3,0.687484885132337,0.0429579461648381,1
3,0.61403410191395,0.0528893459287942,1
3,0.86786785531209,0.0368547934330437,1
3,0.963043074449082,0.0284619934050587,1
3,0.985877663222595,0.0322164703618054,1
3,0.855122959832271,0.0172917084675357,1
3,0.730121079151295,0.0314330438737521,1
3.2,1.43156256985997,0.034694310256719,1
3.2,1.07861727458976,0.0253684329200807,1
3,0.921671196786025,0.0379905941161572,1
3.2,1.5048818916297,0.0313170669581379,1
3,0.556431161460252,0.0302321270938572,1
3,1.20301948492711,0.0166462816223494,1
3,0.743424563898641,0.021125037915354,1
3,0.710596086806273,0.0118140010821601,1
3,1.11948638763069,0.0273975559167455,1
3,0.783686863089529,0.0227756890875107,1
3,0.890186590643405,0.0348084754187308,1
3,0.766858075309848,0.0311752260028431,1
3,1.04481464015576,0.0218146294360521,1
3.2,0.892631275935965,0.0139784630619954,1
3,0.555559319633539,0.0250936529132998,1
3,0.470689972657896,0.0193834273781589,1
3,0.833142493582007,0.0257393577003067,1
3,1.11883589868355,0.0434190138340713,1
3,0.832807614968054,0.0351764078278853,1
3,0.703275686109792,0.0389392766972927,1
3,0.560371100902277,0.0136100795332211,1
3,0.640767995760867,0.0171765495723533,1
3,0.802387141928437,0.0266795897308591,1
3,0.821935994475869,0.0118201768937196,1
3,0.754543614293927,0.00946851801376227,1
3,0.697158457574607,0.0181497650683467,1
3,0.696999176114274,0.0399603241342511,1
3,0.627898093440738,0.0144138264714593,1
3,0.626956216311773,0.0293781501900288,1
3,0.565556497470618,0.0198215021385148,1
3,0.538741290930072,0.0203346323549264,1
3,0.696814428785668,0.0288756336638613,1
3,0.639398470774983,0.0325877914062767,1
3,0.868814215752814,0.015287401041049,1
2.8,0.922234941864364,0.014603941581967,1
3,0.731451530500542,0.0234509885970731,1
3,1.05395991379197,0.0298743824233656,1
3,0.790902347712792,0.0163454720847178,1
3,0.780946018411186,0.0296400665405168,1
3,0.685996242661956,0.0184262916435499,1
3,0.771314664111525,0.0251576064906742,1
3,0.976815896511475,0.017925316262289,1
3,0.809418183100518,0.0321470382828036,1
3,0.695895950755058,0.021657993739459,1
3,1.267582281439,0.0377813989160341,1
3.2,0.534152209662222,0.0258973934952175,1
3,0.803120573207964,0.0371627339134232,1
3,0.739023231045493,0.0147950144225376,1
3,0.814711468832171,0.0227182692829054,1
3,1.01837199489887,0.0381510566702869,1
3,0.740693026079323,0.023602136900287,1
3,0.672225740091142,0.0247717009734754,1
3,0.591785029196706,0.0376257698429739,1
3,0.673289553007602,0.0149215124396275,1
3,0.801387986399576,0.020201691855929,1
3,0.750307722201786,0.0194288966861594,1
3,0.882549125033373,0.0229551518854833,1
3,0.648490390793259,0.0238316332944583,1
3,0.813763874954132,0.0427725418848387,1
3.2,1.25521347055701,0.0311457797406269,1
3,0.690901516479561,0.0300411167924419,1
3,0.92600170423568,0.0157259781670167,1
3,0.811210295255214,0.030449128874352,1
3,0.816619278823896,0.0232081981464233,1
3,0.79979875479504,0.0218291806126773,1
3,0.603426935100138,0.0351917595587317,1
3,0.74247523559502,0.0290880303649559,1
3,0.526567805835145,0.0266088752697469,1
3,0.792769405126028,0.0492231868520677,1
3,1.01775047764507,0.0304036135796382,1
3,0.584706645870469,0.0532103194811277,1
3,0.753443746490404,0.0259625991739694,1
3,0.883172352309103,0.0283267907275736,1
3,0.793986190904445,0.0326739940759402,1
3,0.750307951509373,0.0510648814011767,1
3,0.933798779988852,0.0240830443640993,1
3,0.657320616562702,0.0363989067634199,1
3,0.925726341143041,0.022431978874399,1
3,0.629481268770527,0.0256265680267572,1
3,0.761024941442268,0.0295530126510077,1
3,0.854294839770876,0.0312404716934864,1
3,0.79377541387558,0.0301580663344335,1
3,0.918376821956651,0.031759536497325,1
3,0.76097880500245,0.0322865467687291,1
3,0.586865400349105,0.013519651397273,1
3,0.868960691313705,0.0242403177244329,1
3,0.585885007730551,0.030447017906225,1
3,0.699775185494068,0.00943897334164707,1
3,0.710350492714322,0.0124530269619146,1
3,0.772034449738292,0.0153208595463719,1
3,0.682238815601265,0.0143331747642368,1
3,0.680045875742789,0.0162445558254962,1
3,0.671400528709891,0.0212663475153476,1
3,0.510115288115947,0.0206358886159972,1
3,0.921881816957836,0.0259985159943959,1
3,0.791021542901443,0.0415702317481477,1
3,0.704606805913148,0.0121050191914915,1
3,0.730418261455348,0.0305498680605161,1
3,0.609682913899087,0.0456648078081098,1
3,0.951063605559561,0.0270824100187372,1
3,0.966827856955941,0.019990532460824,1
3,0.565586272124875,0.0245228999500485,1
3,0.816645423744018,0.0306439581157711,1
3,0.805617519623956,0.0160542281852466,1
3,0.751426421936355,0.0283015081231793,1
3,0.80399976197372,0.026006696574904,1
3,0.617895092087876,0.0165406721753226,1
3,0.729028592544042,0.0460345828369875,1
3,1.02670998342374,0.0246854967613541,1
2.8,0.583455325758989,0.0296576142709953,1
3,1.09580949506393,0.0271507763850669,1
3,0.864410717659073,0.0174020944276698,1
3,0.951500320633244,0.0400211194128533,1
3,0.70453894632358,0.0199484689963296,1
3,0.869797098978083,0.0152670103791712,1
3,0.833847503974832,0.0188389119537258,1
2.8,0.648865849960863,0.0316466727043872,1
3,0.72692271901675,0.0232750828903121,1
3,0.646892860847533,0.0199444833960623,1
3,0.610563686740598,0.0172842836323814,1
3,0.8637640510444,0.03661337495352,1
3,0.955835412409275,0.039267465447946,1
4,1.64664631602728,0.0039538993263204,2
4,2.27504216024872,0.000295574800307208,2
4,1.59381650749436,0.00726593487803591,2
4,1.43579749603468,0.000393552575966561,2
4,3.0724407984369,0.00163491567013253,2
4,2.13384858755583,0.00244812780190608,2
4,2.00944317229314,0.00552005205072528,2
4,1.56116185573604,0.00217811439548365,2
4,2.95026904221609,0.000985527978015051,2
4,2.63079747803754,0.000628189533261038,2
4,1.51420092281741,0.00581296350648638,2
4,1.50063458215577,0.00466814097171668,2
4,1.67657126628119,0.00194929071443015,2
4,1.17269000980693,0.00132697888813001,2
4,1.34675819119151,0.00250346047360067,2
4,2.8439557398724,0.00748102871652647,2
4,1.13246274418069,0.00069079081903271,2
4,1.38863017609405,0.0031626654439589,2
4,1.8256105778457,0.00214786541132918,2
4,1.32636279555971,0.0100202336664649,2
4,1.75557575227452,0.0100042872634986,2
4,1.74531599760112,0.00279759910959312,2
4,1.29701850925938,0.00438257827107649,2
4,1.66327531189559,0.00249832393461133,2
4,2.36216897927802,0.000647457600450384,2
4,2.52901418460328,0.00486424190248649,2
4,1.09338773717502,0.00615959251874647,2
4,1.46393785285303,0.00246830626015152,2
4,1.92536552305929,0.00156232814652267,2
4,1.67732749606088,0.00223469072600278,2
4,1.76754334237952,0.00297178088218031,2
4,1.35864699015884,0.0034055498182907,2
4,1.49195333110193,0.0073367196266251,2
4,1.65403297276712,0.00200276936467989,2
4,1.3911730552774,0.00180533929443787,2
4,1.31083877247259,0.00300513238728438,2
4,2.04241556316984,0.00678511350387852,2
4,1.29994193761532,0.00292942782101595,2
4,1.90183997670001,0.00361127978219424,2
4,1.723586603886,0.00589139019288134,2
4,2.09790304060397,0.00238684453550381,2
4,1.18171872733028,0.00403385452509254,2
4,1.62923993771227,0.0054040573841791,2
4,1.87279722190672,0.00623294796220321,2
4,1.94396668592462,0.00111096749415903,2
4,1.38736838448899,0.00130785236127509,2
4,1.61697383575689,0.00499449509579482,2
4,1.76048069655092,0.000613853943276535,2
4,1.3079528539827,0.00267435428846878,2
4,2.08676160414714,0.00132899091411843,2
4,2.5371252942031,0.00151453926223368,2
4,1.78240582227099,0.0013760495576186,2
4,1.63292425799131,0.00431646342683998,2
4,1.6185104740837,0.00345939520544234,2
4,2.23848388898032,0.00379780205565414,2
4,2.04548497163021,0.00259511878990982,2
4,2.13824047533367,0.000167412565583288,2
4,1.4244154324911,0.00380331854218934,2
4,1.82606980501348,0.00121007416969423,2
4,1.5482371346533,0.00269491506104499,2
4,1.45016838880127,0.00187657210313296,2
4,2.36989135614406,0.00584939234436098,2
4,1.41472325781078,0.00137235169938405,2
4,2.09748028419471,0.000945369629611655,2
4,1.74808492893058,0.00124796045890592,2
4,1.84251576251622,0.00413466902854267,2
4,1.57673265477389,0.00193980046197089,2
4,1.80455879614811,0.00423883913074504,2
4,1.6328648125867,0.00142337276315965,2
4,1.74147112772527,0.00270282466355802,2
4,2.20084169748595,0.003720609662963,2
4,1.64046529920037,0.00222344337450385,2
4,1.55201579495378,0.00835140387325737,2
4,1.73114151746327,0.00397501299193436,2
4,1.90689226491032,0.00523182266893708,2
4,1.82620710298609,0.00321846820254647,2
4,1.54721693071458,0.00350175790209873,2
4,1.45356367032485,0.00161746773764883,2
4,2.11986330889096,0.00798408920532103,2
4,1.7658388196805,0.00154990883281974,2
4,1.70710141247229,0.00148746710546263,2
4,1.235843787128,0.00242479990261804,2
4,1.6738676042132,0.00494898666101114,2
4,1.50433119897902,0.000452340322749232,2
4,1.23710982469428,0.0015885002342022,2
4,1.51729434837915,0.000554961699466286,2
4,1.67737478508626,0.00132930917713746,2
4,1.41549160396489,0.00263169668926893,2
4,2.71967911733623,0.0047925107394282,2
4,1.42285549479929,0.00641041359530166,2
4,1.64601068079954,0.00450459887031155,2
4,2.32366088950673,0.00379876401590769,2
4,1.64411064992581,0.00614514404486993,2
4,2.40299202073843,0.000551041315612541,2
4,2.05256395863592,0.00150065181131156,2
4,1.40851658139118,0.00281158600724843,2
4,1.6674504284089,0.000733909992651738,2
4,1.72483678471405,0.00254237159657371,2
4,1.80348985704671,0.00428625978456181,2
4,1.48445759238954,0.00144966572923908,2
4,2.2561291983459,0.00234742047634038,2
4,1.88703208181546,0.0046685989178403,2
4,1.70846200676965,0.005420796333516,2
4,1.75193094803054,0.00311829833865324,2
4,2.11817080909635,0.000996014031941349,2
4,1.76780240830805,0.00557340850878534,2
4,1.31930032077083,0.00399016756489559,2
4,1.43759306256935,0.00276193281506487,2
4,1.37705690356137,0.00155854805645051,2
4,2.2061231160836,0.000923794640697298,2
4,2.457569602256,0.00111593327042365,2
4,1.27574191202623,0.0035645492559474,2
4,1.83299315164597,0.00206781902838436,2
4,1.43994205158728,0.00173786025796285,2
4,1.39158977745183,0.000456871292554142,2
4,1.60499906438909,0.00202805274604851,2
4,1.86774712859806,0.00536767996964101,2
4,2.1004239781316,0.00159497842568355,2
4,1.86266640835593,0.00132524446191007,2
4,1.43200043068471,0.00146826610000586,2
4,2.51839131981831,0.00347830604490661,2
4,1.73810365614345,0.00225005654622354,2
4,1.38509902015501,0.00541256302304716,2
4,1.16657272530805,0.00160489398561513,2
4,1.72853771957298,0.00892424519638411,2
4,2.13505599625428,0.00140370069724712,2
4,1.6226974500337,0.00386677203344908,2
4,1.64251283577305,0.00207136954272655,2
4,1.52845785246932,0.00335978403133134,2
4,1.31552534706963,0.00188303256211144,2
4,1.90429939998472,0.00266978651953769,2
4,1.48633635265225,0.00418963498641674,2
4,1.65067459939098,0.00191491439983971,2
4,1.8799017956289,0.00337897424505018,2
4,2.67818132186682,0.00237338134308164,2
4,2.16431963331566,0.00163439297129313,2
4,2.03808927409021,0.000682572493180174,2
4,2.87193991795749,0.00245555720307916,2
4,2.17825459868398,0.00187331688124266,2
4,1.34910372527834,0.00396223814357009,2
4,1.96516835980566,0.00308630789184363,2
4,1.24108340728408,0.00262534194044492,2
4,1.40368941429361,0.000514342316706764,2
4,2.32408267764382,0.0012930855295372,2
4,1.58812056884314,0.00394634480506181,2
4,1.72050339711371,0.00200287794085053,2
4,1.95275077451568,0.00113526366296257,2
4,1.73937049383751,0.00281101152251058,2
4,1.38574429538644,0.000910416951276647,2
4,1.97127793018235,0.00345804946753544,2
4,1.45945804315872,0.00223635539475655,2
4,3.05801272755741,0.00233912188458838,2
4,1.74984095950887,0.000225732943785417,2
4,2.13072002786945,0.00156529625287514,2
4,1.7672210152536,0.000903074658158925,2
4,1.25812193145539,0.00086006785385762,2
4,2.38524972000056,0.00691825715910669,2
4,2.014370206768,0.00593887770638188,2
4,2.20272043068841,0.00220528415812873,2
4,2.25889864445637,0.000719317927196201,2
4,2.26266044583825,0.00161064183034522,2
4,1.76064243330352,0.00313040332495863,2
4,1.95389641432981,0.00461304404406604,2
4,2.18511147453477,0.00782208557687705,2
4,2.0134247243263,0.00170119110965768,2
4,1.74356375926442,0.00308663779447663,2
4,2.61003693745975,0.00587548947754938,2
4,2.17371161949769,0.00376186455620009,2
4,2.58403696271333,0.00431434830713439,2
3.6,1.18542934380177,0.0153064516732712,3
3.6,1.22737404941828,0.0104538778989635,3
3.2,0.989287717380317,0.0123060788337061,3
3.2,1.1070673497961,0.020414319810839,3
3.4,1.33429818589412,0.0211866846424885,3
3.8,1.46356725345094,0.0143689466536836,3
3.6,0.925829552741811,0.0219899950141036,3
3.2,1.85580740309705,0.0307649743124367,3
3.2,0.887375951838341,0.00788447652546811,3
3.2,1.15016081820832,0.0109381955567567,3
4,1.07891982293896,0.0189214283120795,3
3.6,1.03400149614565,0.0111382018531347,3
3.4,1.95629146580769,0.0222998206923016,3
3.8,1.66549979378415,0.0284745236208621,3
3.8,1.76662079198815,0.0156325427007909,3
3.8,1.70796635226326,0.0262470801519416,3
3.4,0.8851358217886,0.029761699683991,3
3.4,1.10865160859176,0.0101391778688918,3
3.8,2.44630760970357,0.0187005832170192,3
3.8,1.70646326901912,0.0207832159837982,3
3.6,1.3396707930696,0.0236969435083922,3
3.8,1.50734103468466,0.0210766631231938,3
4,1.61760110500591,0.0268463291910787,3
4,1.76781426581534,0.0187857338464674,3
3.8,1.49580354025111,0.0171225257945462,3
4,1.76130689591396,0.0141715744720258,3
3.8,1.98755254393537,0.0286496526610255,3
4,1.96595637286442,0.0119969865412389,3
3.8,2.09013145206866,0.0206769867613501,3
3.8,1.51995391575559,0.0164707725636152,3
3.8,2.22221472639259,0.0222837656011527,3
3.6,2.19628150887174,0.0148367011129103,3
3.4,1.83653501891114,0.0186407699645351,3
3.8,1.44058272130629,0.0171820005803347,3
3.8,2.08594046215633,0.0174693066619486,3
4,2.38070080569802,0.0170622643885901,3
3.8,1.90031165837887,0.0102768352428408,3
3.8,2.03808284035304,0.0112613589299308,3
3.8,1.90424903836058,0.0113675983137437,3
3.4,1.8070830555654,0.0103123123564727,3
4,1.91264866764494,0.0116319669545561,3
3.8,1.60070319274931,0.0209695000142311,3
4,1.62257536927174,0.0195619812057014,3
3.6,1.77545219230551,0.0134126125028524,3
4,1.91924190465101,0.0168939553407723,3
4,2.74532210004973,0.0170106371779068,3
3.8,1.635768263531,0.0233432706212014,3
3.8,1.9434802380359,0.0220064533757537,3
4,1.79880413715695,0.0161738923123072,3
