S,fit,comphet,landscape
2,0.249956703037824,0.205845128687796,1
2,0.26395070697954,0.0967684011139874,1
4,0.778848435209325,0.0213892984748425,1
2,0.339691876541204,0.000711731169679304,1
3,0.436048594038194,0.0183185762989603,1
2,0.114112744250652,0.243521558847983,1
3,0.441308757970959,0.0561256353012435,1
3.2,0.647711962069076,0.0296638917878656,1
3,0.37487469192464,0.0108026539872821,1
2,0.35354544781307,0.0523515330196396,1
3,0.696402824174896,0.0434132557267743,1
4,0.580920126314659,0.00797753400609653,1
3,0.358797325454424,0.0206960231632053,1
3,0.395247887318992,0.015495925937313,1
3,0.500814248839507,0.0222391663895554,1
2.8,0.408549957177517,0.0423571548851093,1
3,0.481145399200347,0.0241476300865439,1
3,0.543694030396906,0.0162438277704793,1
2.8,0.252881371375222,0.0376734843359526,1
3,0.515461200969839,0.013615518582748,1
3,0.530302145013633,0.010813944227955,1
2,0.344157844578777,0.0523291070647906,1
3,0.395768505359205,0.0179084135505253,1
3,0.455919663151446,0.00902185056718093,1
3,0.529427162938919,0.00526962117293686,1
2,0.2226840011061,0.0344828230744724,2
3,0.335628040043429,0.0146871006320718,2
3,0.299523136776868,0.0366270022898868,2
4,0.672591581648109,0.00836957917896988,2
3.2,0.456320246598034,0.0164500878146793,2
2,0.155112921574765,0.0021862152545052,2
2.6,0.392031464072303,0.0148904945154983,2
4,0.389284283092339,0.0266561307591776,2
3,0.628761524252802,0.0339720103607327,2
3,0.592014635925972,0.00336951076877586,2
2,0.361588198635778,0.00180437313535708,2
3.2,0.318638144305217,0.0243973057847999,2
3,0.439581520437854,0.0148675883713364,2
3,0.837247931511804,0.0166178591981346,2
3,0.430278839115325,0.0651877013589857,2
2.6,0.339649707327196,0.0434212582851292,2
4,0.442082850567228,0.0217955574094614,2
2.4,0.317644389848462,0.0463739473455499,2
2,0.193245527010972,0.112221825981674,2
3,0.452947705799898,0.0168760902844806,2
2,0.231743579360479,0.0439800086127803,2
4,0.575384939618781,0.00682752256499925,2
2.2,0.776812463120555,0.00947366846958773,2
3,0.462030909665176,0.00583706496081057,2
4,0.67677020533359,0.00374704066278859,2
2,0.275620367979317,0.101474775289079,3
2.4,0.411527957609646,0.0580126126481907,3
2,0.27480242955063,0.057839292732453,3
2,0.0562249378929003,0.242145881008537,3
2,0.236572511822224,0.0714667817974389,3
4,0.733812016077673,0.0227738519550803,3
4,0.569900499519264,0.0235069775568861,3
3.4,0.611817030707873,0.0286277469653482,3
4,0.711780407810684,0.0183458041342046,3
3,0.557265831621438,0.0180639351563312,3
2.2,0.439305506287236,0.0335321217295257,3
2,0.414961286612494,0.0638352175137571,3
3,0.519022794139276,0.00585706739101848,3
3,0.364138593222571,0.0609170591911299,3
3,0.421082533301878,0.0285776072649528,3
3,0.546028236274941,0.00430301111422551,3
3,0.263843104970278,0.0291789621348496,3
2,0.308983501060687,0.0716243892371984,3
3,0.416486197637592,0.0211234612987411,3
3,0.488690598290517,0.0218717005260512,3
4,0.70783930972273,0.0112085530475553,3
3,0.593898864263496,0.0215611856066221,3
2.8,0.452897178832585,0.0288599899353195,3
2,0.507719337842065,0.0164928713387337,3
4,0.63081044882342,0.0143448585828399,3
3,1.07544114011931,0.00901864172262925,4
3,0.733459593852483,0.0275454702257073,4
2,0.0867734024074979,0.257928613599188,4
3,0.494426800010057,0.0291683566720582,4
3,0.764464594705194,0.00370449339403054,4
2.4,0.747638164387268,0.00704853707107563,4
3,0.930177372998456,0.0160294523299285,4
3,0.403724757419499,0.0466946456310677,4
3,0.584208024543127,0.0165398177573486,4
3.6,0.666796148625815,0.00663705444458909,4
3,0.884172906798922,0.00810188349602778,4
4,0.962825590106405,0.000934437337703691,4
4,0.76873948100407,0.0103077849112649,4
3,0.242650546219339,0.0569372395131914,4
3,0.210777542230664,0.0477461685933513,4
3,1.2386595633911,0.0065687523686929,4
3.2,0.370406844781675,0.0445338431810661,4
