S,fit,comphet,landscape
3.2,1.03183070058768,0.0444550298672793,1
3,0.694087118267093,0.0689994452206183,1
3.2,0.620223850652997,0.0146997931577566,1
3,1.16563408250379,0.0426466984605819,1
3,1.33672191995817,0.0752125813896291,1
3,0.99479015217054,0.0370296042620653,1
3.2,1.56520895301158,0.0408679652093372,1
3,0.875768687954287,0.0439517314671299,1
3,0.863978327837217,0.0163307440715355,1
3,0.705115043126905,0.0464089891189285,1
3,0.870131465238948,0.056790260523296,1
3,0.942624041344976,0.0361939701982779,1
3,0.80347901561807,0.0415569889922232,1
3,1.08427656093091,0.0290688875021841,1
3.2,1.15954131655105,0.0446392533593316,1
3,0.663512399256289,0.0369584455954633,1
3,0.900348199309621,0.0456104632546604,1
3.2,0.95943814661833,0.0338210835322842,1
3,0.64782584555442,0.0192339443798925,1
3,0.73270043609395,0.0176545826861001,1
3,0.809809663916531,0.0187639051264071,1
3,0.803706170245882,0.0277719002110173,1
3,0.488143629325667,0.0581522827195892,1
3,0.841199854941625,0.0420478623688698,1
3,1.28088860573413,0.0379607514585074,1
3,0.758444675481477,0.0428382467982945,1
3,0.670979227256556,0.0702450248118108,1
3,0.805740552610342,0.0375124497545441,1
3,0.823292744672397,0.0281027231721968,1
3,1.22654506300416,0.0640659675704329,1
3,0.89778863848553,0.0370766515742903,1
3.2,1.2402191626336,0.0259586651497504,1
3,1.58135455559654,0.045382942536846,1
3,1.11056705825977,0.0429566171221376,1
3,0.839958973779314,0.0388492057338718,1
3,0.653035337150812,0.0206159828760148,1
3,1.11991251981152,0.034237127449487,1
3,0.588204694509765,0.019809226413694,1
3,1.0979003857066,0.0185083111367797,1
3.2,1.05251020480511,0.0424032794595683,1
3,0.579548160520437,0.0493082361976813,1
3.2,0.685730977295988,0.0435162770926497,1
3.2,1.22962767835803,0.0626840119602955,1
3,1.23139387461865,0.0558925827972152,1
3.2,0.98538361511466,0.0256513581533382,1
3,0.820778317068593,0.0289839232821179,1
3,0.663487622710866,0.0464357854164975,1
3,0.894670450110906,0.036844459429284,1
3,0.789642520854865,0.0136519020449925,1
3,1.31926300191378,0.0319851819758058,1
3,0.96518198369535,0.054653515250292,1
3,0.891900144309069,0.0304247544788138,1
3.2,1.22473364281559,0.0221999652246571,1
3,0.893975458446699,0.0794744329098132,1
3.2,1.04147498207823,0.0533470716976727,1
3.2,0.695746326031526,0.0149065494563993,1
3,0.712113127063259,0.0279547183546776,1
3,0.75531001668473,0.0197620789454762,1
3,0.781706499300494,0.0221816019986109,1
3.2,1.12867373733405,0.0323306252002978,1
3,0.829601993338352,0.0428056953492274,1
3,0.631945001322821,0.0254735668410799,1
3,0.776058358985509,0.0389653970458055,1
3,1.14418002137144,0.0511613888183741,1
3,0.748408165831683,0.0471964185372844,1
3,0.708200541925257,0.00967183387885352,1
3.2,1.00666935007705,0.0420539919827815,1
3,1.27637228785528,0.0620204617207947,1
3,0.96408969688796,0.056373822280942,1
3,1.84485760359859,0.0439742106908678,1
3,0.692479717345498,0.0335930322009701,1
3,1.21673590138632,0.035106586299721,1
3,1.4305213836924,0.0260000757395121,1
3,0.962746356984433,0.0375254684956778,1
3,0.698112159714068,0.0227315454894642,1
3,0.866488665919634,0.0324749437617676,1
3,0.560813044223808,0.0234106899231108,1
3,1.35276940581561,0.0529689954242169,1
3,0.991259573396894,0.0387667529428207,1
3,1.49955460120964,0.033421094286055,1
3,0.95182516701411,0.0328349954189332,1
3,1.23591829051636,0.0424364490270696,1
3.2,1.3089755770084,0.0346323154612532,1
3,0.819871691574102,0.0821439934915357,1
3,1.06175847655449,0.0268027947754967,1
3,1.43376990379253,0.0414641982107009,1
3,0.730786624615378,0.023009164256449,1
3,1.33052202842475,0.0563471540667994,1
3,1.05336639376328,0.0195383065347047,1
3,0.646556767657897,0.0224249940632224,1
3,0.708794827344608,0.0280450639430571,1
3,0.797695721183629,0.0202863027602635,1
3,0.615414220621372,0.0425008610722372,1
3,1.03919769194452,0.0343495589702256,1
3,0.660769812940826,0.0468038584665054,1
3,1.18797871596465,0.0258997071157106,1
3,1.40576093453971,0.0435512027539625,1
3,0.775123693039432,0.0470506146632989,1
3,0.626118720314228,0.0292109451863742,1
3,0.718192863365179,0.0280707909679583,1
3,1.09793818390434,0.0354440139056231,1
3,0.816591222671903,0.0351078068557796,1
3.2,1.16203733171056,0.0189242724389851,1
3,0.839293785623664,0.0587667508097094,1
3,0.756691879861627,0.0403380324755373,1
3,0.814252863433559,0.0272148511305164,1
3,0.598474345869938,0.0622330403750197,1
3,0.765833768709767,0.0191732320161554,1
3,0.881028203357236,0.027524535109153,1
3,0.866425573422019,0.0318137879861923,1
3,0.776036466386377,0.0494334632929834,1
3,0.79506903309685,0.0450370331049119,1
