S,fit,comphet,landscape
2,0.511604846566218,0.0999641568746424,1
2,1.12458022563116,0.0655879711226164,1
4,1.60220273709462,0.0445656559255676,1
3,0.74585975005956,0.0676555283928669,1
3,0.969471867998552,0.0186575486813172,1
2,1.16673062895232,0.137099414977302,1
3,1.52470465765598,0.04352318410012,1
4,1.07712053591916,0.0224611495872095,1
3,0.610771446500589,0.0539889022727569,1
3,0.761984003039657,0.0590193584296763,1
3.2,2.70606774661261,0.0686032315051025,1
4,1.81499755476998,0.0188264462277945,1
3,0.625765271926391,0.0419452821887703,1
3,0.684761877919208,0.0127759542167474,1
3,0.93446833053999,0.00565424612098683,1
4,1.45433521828011,0.053101361125715,1
3.4,1.02793162591141,0.0364672763646337,1
3,0.635875216448104,0.0232408714008146,1
3,0.357302812317446,0.0949323930833552,1
3,0.726816211904256,0.0157664801345704,1
3,0.985975573346365,0.0401004379672625,1
3.2,0.727773415194476,0.101418817532436,1
3,0.539882312960024,0.0416452055114432,1
3,0.757959820647587,0.0282991467152938,1
3,0.905263525672816,0.0111722079933369,1
2,0.525515767290569,0.169996453792575,2
3,0.570417199749757,0.00791320177476571,2
4,1.07893838801421,0.0295205492107236,2
4,1.10731163467178,0.00570367899388831,2
3.8,1.26574937129863,0.00372103244240004,2
2.2,0.189775336895883,0.0739619308978891,2
3,0.39703824151649,0.0392090780296994,2
3.8,0.696151353406794,0.020369428843496,2
4,1.0095671684153,0.0113532062745858,2
3,0.866692170863727,0.010775963850641,2
3,0.637823481645432,0.0222812910450439,2
4,0.914877500551498,0.0296351961907273,2
3.8,1.22075759428543,0.0408391155004617,2
3,1.02501399182393,0.0336944978163603,2
3,0.689664083637724,0.0414808021789402,2
3,0.62170341884929,0.0171013901004398,2
4,0.808586231489554,0.0183466760431614,2
3,0.867811946975629,0.0386692758955775,2
3,1.08061231676321,0.109097636307418,2
3,1.44204789816751,0.0145669211360597,2
2.4,0.333437392189793,0.0971335822974817,2
4,0.824514227658499,0.00843251879271408,2
3,1.68831783132934,0.050033366882734,2
3,1.19889462363487,0.00674491175204875,2
4,1.14950311493445,0.00375314819164794,2
3,1.67347782323796,0.0706424994455861,3
3,1.92353873055328,0.0586014724532923,3
3,1.41746864964538,0.0554703123947439,3
2.2,0.721338971446411,0.119458242529052,3
2,0.429927713316047,0.0806073767843622,3
4,1.74190082018295,0.0175413337615608,3
4,1.790442410099,0.0343362089971517,3
4,1.64987324274506,0.048145578499665,3
4,1.15760995178441,0.0054499338395416,3
3,1.10305425576409,0.0320429827446943,3
3,0.499570807149221,0.0382944522354265,3
3,0.394325142145149,0.0642042418655292,3
3.6,0.693009733747261,0.0289199563482094,3
3.4,0.74110885010502,0.0383423801388687,3
4,1.35907704671929,0.0263465320270262,3
3,0.601781403590918,0.0013375370385743,3
2.8,0.349055542460182,0.0664475774581987,3
2.8,0.365587122643383,0.117251697538638,3
3,0.65205838970822,0.0489727821095172,3
3.6,0.942645315094414,0.0167439800192434,3
3,0.779173249918821,0.00480318642369385,3
3,0.542881573975775,0.0141640254524664,3
3,0.609798442060782,0.0191909501520639,3
3,0.733929958881198,0.0947311237346067,3
4,1.17074949214993,0.0013392995369137,3
3,2.1450844749348,0.022705189040402,4
3,1.1855783854673,0.0223622307934852,4
2,0.622196501280113,0.161005391095892,4
3,0.930310098085543,0.0387391697478069,4
3,1.92926991039007,0.0178138917764498,4
3,2.33197565223061,0.0304908166543261,4
3,1.261522340697,0.0229166444647462,4
3,0.951183594453727,0.039353172339397,4
4,1.04614570594966,0.0131107945421475,4
4,1.5714078073992,0.00789689271535692,4
3,2.39875588427995,0.0410766304629944,4
4,1.41513626676947,0.000840201483576919,4
4,1.38911298266816,0.00952383707932433,4
3.8,1.13689351262931,0.050144366805011,4
3.2,1.01026718427673,0.0357650216327505,4
3.2,3.15361337741053,0.0355523527559782,4
3.8,0.54868249560578,0.0341575183771978,4
3,0.370757704577544,0.0481126396410157,4
2.8,0.479194059820277,0.0761552958162671,4
2.8,0.588283960787641,0.0811175015457193,4
3.4,2.82844645301563,0.0548035842565572,4
3.4,1.03658944634315,0.0450567418646825,4
3,0.618759572821687,0.0176138641860907,4
2,0.344170874004118,0.297508987498506,4
2,0.220320388732274,0.376889215917754,4
4,0.805935291865843,0.0060955584709196,5
4,0.972443024712352,0.00959349799383777,5
3,0.815685726591572,0.0233889199182153,5
3,0.512292162725971,0.0290676594576349,5
2,0.477171695852909,0.222746252986963,5
3,0.869570053122807,0.0570776170916827,5
4,1.40420916315958,0.0110125509034862,5
3,1.09756683050846,0.0210892028607035,5
3,0.723611467324889,0.038866345827753,5
2.8,0.965869609588461,0.0605640253247057,5
3,0.671543141998355,0.0349095905492821,5
4,1.19721545039227,0.0255224247308206,5
4,1.20754984453525,0.0127290787456384,5
3.8,1.35718431217994,0.0511544393837578,5
3,2.53580593929759,0.0479913497613946,5
3,0.521870968005772,0.0377511191732195,5
3,0.467075495557048,0.0390101329080139,5
3,0.313976460992817,0.119117698292436,5
