S,fit,comphet,landscape
1.2,0.14397994098396,0.383744326402992,1
1.2,0.0562430338337329,0.342068361551517,1
2,0.317950337429181,0.0980038093711481,1
2,0.0748982652493167,0.32217852406674,1
2,0.230705020939468,0.138391120534938,1
2,0.885950471430556,0.0483716941471078,1
3.6,0.361094314764922,0.0509436723252238,1
3,1.26359479911596,0.0329329026107753,1
2.8,0.574645504055017,0.020585842599993,1
2.4,0.455304672108567,0.0136505418023756,1
2.4,0.724387724601524,0.0240034412563481,1
2.8,0.464989411660869,0.00550319056237361,1
2.4,0.570603328560636,0.01303765502723,1
2,0.153329896563495,0.244192556020303,1
2,0.298375842226876,0.146760601662007,1
2,0.279379760195734,0.119555719242397,1
2,0.131360093973496,0.318923172507293,1
2,0.404933695476982,0.0830593136797539,1
2,0.467356944147967,0.0508398174675332,1
2.2,0.414148388627354,0.0874473578567628,1
3,0.967689267016268,0.0341557599436777,1
2,0.574152289167095,0.0806415583644698,1
2,0.399169885194538,0.0738925094367257,1
2,0.577706200455389,0.081405299911044,1
2.4,0.750871483821448,0.00973992777472955,1
2.2,0.562857614444761,0.00533476209648358,1
2,0.559407211271741,0.159333386510442,1
2,0.234305541928476,0.187329121387095,1
2,0.203273269733472,0.28210577543256,1
2,0.235882226828961,0.237494462063295,1
2,0.502494723234561,0.046873008974579,1
3.2,1.13939813993179,0.0553866734424605,1
3.8,0.922558592049223,0.0254676055489929,1
2.6,0.427955388846897,0.0762552265671758,1
1.4,0.0718776973923944,0.16557439791477,1
1,0.0676153934265523,0.264672628538967,1
2,0.229236282740611,0.0485254306319495,1
2,0.449955740757008,0.036566806045054,1
2,0.435696837510333,0.0404759963703266,1
2,0.435597566116641,0.176119321486091,1
2,0.213700089859674,0.173657238665162,1
2,0.171330031330677,0.279918944353128,1
2,0.287750551025116,0.163920453128665,1
2,0.519523469008086,0.0802106314067286,1
3.8,1.07528542895371,0.0236700613544461,1
3.2,0.725018853622145,0.0278966456744156,1
3,0.894782899576574,0.0568667752715374,1
2,0.255393020693649,0.104882084960439,1
1.2,0.204411138354357,0.169942469863274,1
1.8,0.204964701514865,0.0731589062131805,1
2,0.416942308152039,0.111389505306806,1
2.2,0.505157414546236,0.00141010936515556,1
2,0.207368189784728,0.182984738883056,1
2,0.256304591472789,0.207156238972398,1
2,0.136701068908435,0.300375437224193,1
2,0.545762100937451,0.0913808412368125,1
2.6,0.459692037824578,0.0288037929200794,1
3.4,0.947716560929545,0.0172344625652327,1
3,0.592464724341782,0.0219332701632111,1
2.8,0.662214775686675,0.023391152137859,1
2.8,0.471048746668039,0.0255695186060017,1
2.8,0.430699782603304,0.011639105453976,1
2.8,0.621570114355392,0.0214865805067046,1
2,0.2229575398925,0.125453936893373,1
2.2,0.486117680548362,0.0136849490870104,1
2,0.353881767243705,0.119634970255814,1
2,0.317333007494342,0.127389896523343,1
2,0.348475250892987,0.112226268537794,1
2,0.880531967216742,0.0523531632831114,1
3,0.641603169610417,0.0589852475637824,1
3,0.865824178517486,0.0295562284981011,1
3,0.720879128841777,0.0335583930361743,1
2.6,0.51152731242608,0.0249829033280202,1
2.6,0.383518929710811,0.029698698429704,1
3,0.535156575112917,0.0539861652476822,1
3,0.758342182640737,0.0160735372510324,1
2.6,0.743000576080972,0.0265030296646934,1
2.4,0.496662828254296,6.96380842861541e-06,1
2,0.614356941015783,0.0484338629638929,1
2,0.472573214263709,0.0794744717672826,1
2,0.39942945461412,0.125073885912201,1
2.8,0.596130004172582,0.0590156499333269,1
3.2,0.804537944098416,0.0137415459779446,1
3,0.847419674440725,0.025966535163678,1
2,0.160513510644999,0.069479585958819,1
1.8,0.154261684709824,0.126036020884692,1
2.6,0.405573089372818,0.0190944536365489,1
3,0.530784311436314,0.00983325037738299,1
3,0.651699395063026,0.0223715646260781,1
2.4,0.742546720093312,0.00146163478664844,1
3,0.63115858275949,0.0179033576355096,1
2.6,0.867459218747853,0.0723527509627967,1
3,2.14232441924359,0.0674945391376885,1
3,0.870932085950757,0.029334029253383,1
3,0.557362010624409,0.0407872797300951,1
3,0.713897916710273,0.0360921007512895,1
3,0.824979888174112,0.0327117922179388,1
2.2,0.581322305692706,0.0537357946314058,1
2,0.160247653649027,0.0925574091014159,1
2.4,0.352818467083023,0.033051427425609,1
2.6,0.592663573073405,0.0199331941280893,1
3,0.544440066181918,0.043981888976937,1
3,0.601434348315058,0.0333979299452648,1
3,0.608951864082543,0.0169489992337865,1
3,1.64491442864536,0.0365821599980583,1
2.2,0.67605174514763,0.0561843494953013,1
3,0.625479690076139,0.0343235049205185,1
3,0.576307721924532,0.00618510254707945,1
3,0.629150423746089,0.0346698276644758,1
3,0.578852152971816,0.0378855168994025,1
3,0.567849402206997,0.0241605990036325,1
2.2,0.361298979760803,0.0965335283163711,1
1.4,0.0710899532312925,0.204481609354608,1
2,0.277481662253236,0.0781443927380538,1
2.8,0.544867537759058,0.0059249137782872,1
2.2,0.475210881695832,0.0294104523836554,1
2.8,0.456198728026447,0.0483248551826151,1
3,0.706289349850069,0.0402633509329359,1
2.6,0.787524100644143,0.0338609711323338,1
2.8,0.652994690078919,0.0316781695882264,1
2.6,0.785704385738833,0.0347738862857184,1
3,0.539549343702942,0.0365254564020361,1
3,1.62945247793949,0.0332017698325826,1
3,0.539820808967718,0.0194661838567082,1
3,0.526308800982096,0.0185240127510123,1
1.8,0.230218946601789,0.119233241009816,1
1.4,0.0846570357590541,0.110773475548998,1
2,0.414359852070445,0.0663466318825572,1
2.6,0.655016753586421,0.0332147096888843,1
2.6,0.550711586478963,0.025796094144371,1
3,0.83051571561735,0.00517703149180527,1
3,0.98451891145726,0.0293881412753374,1
3,1.12733260197842,0.0249552116152758,1
2,0.659147138367883,0.0626985987993245,1
3,0.77138459453456,0.0247508505466228,1
3,0.63765927194671,0.0371885371976389,1
3,0.635697610216914,0.0461847846958232,1
3,0.688361633418998,0.00796904215420207,1
2,0.300048705306388,0.0757599323007191,1
1.2,0.0926803142059293,0.0964678375333687,1
2.2,0.596680718743037,0.041008643485488,1
2.6,0.358272325812365,0.0427493426239228,1
2.8,0.815321685296976,0.0147415268421941,1
3,0.660419805809287,0.0145917296772968,1
3,0.679830117675284,0.0358542974172028,1
3,0.801001877231549,0.0029520753053075,1
2.2,0.386884644089511,0.0855596663861031,1
2.2,0.52279231966565,0.0662538984006556,1
2,0.505825608708265,0.117548145504213,1
3,0.586808257457015,0.0539121717699299,1
3,0.796334873308275,0.00921558906904159,1
3,0.831105463700322,0.0116958431458311,1
2,0.215595529010732,0.0587183030210636,1
2.8,0.774484053534599,0.0203147279297135,1
3,0.896698903966212,0.0103949382064105,1
3,0.853820207986508,0.0403913769685758,1
2.6,0.709759107654311,0.0181344052771911,1
3,0.826383898948775,0.0177468088694571,1
3,0.675310413227808,0.0513578206857611,1
2,0.203663781258857,0.137139769284024,1
2,0.142578181900361,0.0992419783607593,1
1.8,0.282282831763928,0.170517429177111,1
2,0.362807362242685,0.165166803889047,1
3,1.05883187042974,0.00697091243566838,1
3,0.534944062998401,0.0145425068947727,1
3,0.742484386337869,0.0103823446314702,1
3,0.745225397852208,0.00851168469465621,1
2.8,0.523074865642417,0.0871869211045031,1
2.2,0.479989383343883,0.0578933889916909,1
2,0.501607216905319,0.150470647264268,2
2,0.435071936489404,0.00478956783498002,2
2,0.444967211361838,5.75934644615257e-05,2
3,0.191550365838208,0.0389805586454454,2
3,0.16810118867349,0.037637436494627,2
2.6,0.832178490470667,0.054308694003928,2
2,1.0123745869857,0.0353180529920368,2
2,0.419407045394,0.0297210727415728,2
2,0.333045573356788,0.0433020945021734,2
3,0.705392969045509,0.0199587788962484,2
2.2,0.232741327538295,0.105074702914171,2
2.2,0.633342545570576,0.0263441558270334,2
2,0.456072007732042,0.050202128837143,2
1,0.0223058442262614,0.254978478061906,2
2,0.211826765642773,0.137973938748738,2
2,0.324077390671971,0.0962812079483708,2
2,0.400781946944366,0.00977460496863259,2
2.2,0.232712715299667,0.103355608232305,2
2.6,0.137905290295945,0.0814289780309231,2
3,0.41507309386148,0.0668035561739904,2
2.4,1.5980344671736,0.0269376676193125,2
2.4,0.980241420034021,0.0193306524636816,2
2.2,0.682263439818134,0.0163391954341554,2
2.4,2.20950379850473,0.0410557368627962,2
