S,fit,comphet,landscape
1.6,0.195722462463534,0.406146772133906,1
2,0.345730012393587,0.30092241328763,1
2,0.457828237147207,0.106835475793025,1
2,0.299396278259635,0.116402779805629,1
2,2.60649016806622,0.0522914383915768,1
2.2,1.72198023302537,0.0910106924575366,1
3.8,2.26090870451697,0.0578476567990024,1
3,1.33959974815773,0.05235446506781,1
3,1.34338073439572,0.0185251960397125,1
3,1.22221034684142,0.00903426715328268,1
3,0.686228174597318,0.0353219061409054,1
3,0.934451357955283,0.000250877352992244,1
3,0.891003970420628,0.00220030862157798,1
2,1.17689528641185,0.0755573120296522,1
2,2.98381900301387,0.0817879625291526,1
2,2.2780639824227,0.069083443494537,1
2,1.1654675507475,0.0882463117624881,1
2,3.08858737212455,0.0324846576074524,1
2.2,4.85523161095208,0.117185506709971,1
2.2,0.890578354043248,0.112601599053275,1
3,0.710632378954069,0.033181057544322,1
2.2,0.271528146337239,0.107745018157115,1
3,0.34682809787605,0.0350641129967603,1
3,0.916829051634543,0.0680445070149351,1
3,0.911875080507716,0.00279224490572774,1
3,1.2135621096977,0.013021118231978,1
2,3.24880825324878,0.0637729967675707,1
2,2.12129273350322,0.0350602142801087,1
2,2.06305041014431,0.0327275367636279,1
2,1.35585045165898,0.0475309081816018,1
2,2.68659978675849,1.36357913998501e-05,1
1.8,2.16468809429398,0.130757036830481,1
3.4,2.02351875884329,0.0748530211424869,1
2.8,0.715259493732678,0.075562471554797,1
1.6,0.107070283446712,0.28941928273715,1
1,0.105191346371882,0.42289810803515,1
2.2,0.423572560127446,0.155918597340855,1
2.8,0.548806844581969,0.0720241542951085,1
3,1.00218945945228,0.0690650108905282,1
2,3.82179999683167,0.0861952539512759,1
2,1.09484570134421,0.0653902681869174,1
2,1.48359465728998,0.101578236186929,1
2,3.15768460895586,0.0508644863281927,1
2,2.78048376890173,0.0805480526895087,1
3.4,1.22913974731858,0.0390896428891097,1
3,1.10654596488569,0.00298594547255075,1
3,1.15784459929033,0.0714380624671414,1
2,0.408478611685683,0.146006367748489,1
1.2,0.209260339427438,0.403474651536189,1
2,0.575273003091669,0.174201811537201,1
1.4,0.26885959585223,0.344013275636442,1
3,1.15601443825281,0.0352290287365541,1
2,1.80220231484976,0.208414152544898,1
2,1.84641754295115,0.053485689969653,1
2,1.03984074159124,0.0779344780951362,1
2,5.96482449795834,0.0732064222010579,1
2.2,4.39414280675282,0.0937662119450099,1
3,1.10016872475268,0.0377870769822629,1
3,0.810667121654562,0.00806027003891757,1
3,0.761979259701955,0.0324065433191018,1
3,1.14867591870506,0.0609830527153141,1
3,1.48282046750965,0.0271524045660581,1
3,0.676706210906998,0.0589809119523819,1
1.6,0.20247856292517,0.297529269939523,1
3,0.950757178615503,0.0264189004175623,1
2,3.77527053020191,0.0807934455728295,1
2,2.84156638902703,0.0122201588805624,1
2,5.31417557177768,0.0164315689477437,1
2,3.47504547603517,0.0737875560649901,1
2,1.38741355678708,0.11131792260413,1
3,1.12090361614583,0.00333094707353465,1
3,0.907020948531387,0.0200324595135573,1
2.8,0.669690900540006,0.105214855634925,1
3,0.822175423607728,0.00569298757874404,1
3,0.926427153426096,0.0360011449157732,1
3,1.22880022252975,0.0512379372197847,1
3,0.959383080394884,0.00832744352497042,1
3,0.775025408080409,0.0208142142898767,1
2.2,3.78507597014705,0.0949475401059026,1
2,3.95784961389365,0.0784824301124246,1
2,2.86262206845134,0.00475030176005762,1
2.6,2.59134526527545,0.11230820938669,1
3.2,1.52270058014044,0.0191036791358764,1
3,0.824392339902649,0.00880525077737762,1
1.8,0.46312706859033,0.172737341286993,1
2,0.223216599584278,0.291936277414475,1
3,1.06836680471224,0.00990989527797043,1
3,1.00215476351721,0.0148359105880994,1
3,1.19221680086853,0.00050998309625312,1
3,0.826816096228545,0.0110727298336355,1
3,1.10033926067766,0.0404065966244042,1
2.8,1.69656238380542,0.0835504779723194,1
3,1.06351847913812,0.072601997485851,1
3.6,1.87136449590429,0.0811353124923069,1
3,1.18892656893568,0.0654525171903888,1
3,0.866291486318816,0.00870257873716347,1
3,1.0328040344553,0.0184181817360712,1
2.8,0.669878355917321,0.0867438063116509,1
2,0.267690976395188,0.264021296555634,1
3,0.917672690493629,0.067750815668742,1
3,0.536076976792247,0.0145295282174127,1
3,0.857718389857831,0.0150688462570283,1
3,0.871144881149544,0.0369689340665543,1
3,1.07739390328984,0.00569408918474367,1
3.8,1.16084087385355,0.0501508667157804,1
3.8,1.64591085604811,0.0754746278884993,1
3,1.03857234158717,0.0618957359454676,1
3,0.934324439064423,0.00478091387401825,1
3,0.940823520179115,0.0257161890007186,1
3,1.13227819286106,0.0234435930468937,1
3,1.09294170316987,0.0582669369467964,1
2,0.394889871570529,0.180676816032236,1
1.2,0.162501437311036,0.293929038481863,1
2.4,0.513644111623605,0.11233762355427,1
3,0.920950307930756,0.0219866883873161,1
3,0.827322070163082,0.0214939680022307,1
3,1.33838211746623,0.0259013296861573,1
3,1.23013955091243,0.0587457380507663,1
3,1.07539898067417,0.0364225489963408,1
3,0.940618462652968,0.074956393342798,1
3.2,2.13427081317148,0.0585250319010381,1
3,1.52558862205075,0.030666875387432,1
3,1.40164268703275,0.0230693126066988,1
3,0.995905499216726,0.00206217627233027,1
3,0.72963454427547,0.0425743950617273,1
1.4,0.138021670760897,0.315849378807485,1
1.4,0.137682173091459,0.367382722621237,1
2.4,0.428595917844181,0.0901199562159832,1
2.8,0.656782870668393,0.0319383874937141,1
3,0.999445034985324,0.0158005485280084,1
3,1.11145531397037,0.00343928195668093,1
3,1.11488446670243,0.0201923860117647,1
3,1.18069924601244,0.0475273487949325,1
3,2.01452961532325,0.0970584835985459,1
3,1.17959906928663,0.0543166260794181,1
3,1.06581002204846,0.0551573231698514,1
3,0.828075872727177,0.0445347076591024,1
3,0.815221581972321,0.00603442591158796,1
2,0.127546766817838,0.00279814637036924,1
1.2,0.0713402000661376,0.18911226777104,1
2.8,0.799700621781618,0.051072844580366,1
2.6,0.584568786848073,0.0469912847951908,1
3,1.06322427102052,0.0185244594055079,1
3,1.0773874499691,0.011576446428094,1
3,0.592763516523894,0.048944733620194,1
3,1.05829243016253,0.0446406709210611,1
3,1.48489492822517,0.103786601278863,1
3,2.11847025754565,0.060578028483286,1
3,2.99338020634131,0.120989902898515,1
2.8,1.17951562024813,0.0717384447199515,1
3,1.14245146861771,0.028795154746847,1
3,1.04679975925249,0.0366186582645372,1
2.8,0.371421086545729,0.169901715966217,1
3,0.757177767828512,0.0261041051634692,1
3,1.19915692716283,0.0446885255233052,1
3.4,1.590407989472,0.0370079377936033,1
3,0.786840060114649,0.0215754953545274,1
3,0.960550782176277,0.00416540989331291,1
3,1.18770719755989,0.0881356508536687,1
2.8,1.86905153036151,0.161307064796483,1
2.6,2.476702157262,0.135525246250159,1
3,2.83189607580976,0.164045294868664,1
3,1.86601020363004,0.0903535729029231,1
3,0.866386598971315,0.00827764836547414,1
3,0.908123082858232,0.00686799508493346,1
3,1.33007512665956,0.0477948027452079,1
3,1.53464383612112,0.0562988626967712,1
3,1.04833654383152,0.0642068582584131,1
3.2,2.65616419413571,0.0739939477424599,1
2,0.497998517840051,0.174229087287386,2
2.4,0.966926676877576,0.0634213138507742,2
2,0.772065246173296,0.00164269055251066,2
3,1.36819210521685,0.0342737875444807,2
3,0.824838693728163,0.0549345281272324,2
2.6,1.26815226758768,0.0841067223837875,2
3.4,1.27502760968113,0.0412060655714861,2
2,0.633615670838239,0.0647456234210545,2
2.2,0.676024439612316,0.0444279072080968,2
3,1.11024032797597,0.00943447720487558,2
3,1.58909136865553,0.0583522491284124,2
3,1.88180569550178,0.056687174774901,2
3,0.837956173174709,0.0350296060222063,2
1.6,0.460235346723566,0.443359243602066,2
2,0.137101528790056,0.22157063461257,2
2,0.543037485713574,0.131773266790066,2
2.8,0.700138797602715,0.0513558802759654,2
3,1.54011375038046,0.0989317089270779,2
3,0.648045771591658,0.0302422017132909,2
3,0.782409477271967,0.0577979235835545,2
