S,fit,comphet,landscape
2.6,0.514823215826152,0.0665900085068828,1
3,0.761241267363794,0.0607707538602887,1
2.4,0.62252218710774,0.0299325185680826,1
2.8,0.586912967276112,0.0317306707225627,1
2.6,0.642921293514327,0.014056627334054,1
2.2,0.380139487386171,0.049452798673242,1
2.4,0.570386773891811,0.0545883047452844,1
2.6,0.755225145115928,0.0795301530939462,1
2.6,0.410127246240602,0.0527511657194572,1
2.8,0.700950458118688,0.0214426306570457,1
2.8,0.727797251386201,0.074000332089061,1
2.6,1.12895990037116,0.0311711450650517,1
2.6,0.636653132573485,0.0598172153537203,1
2.8,0.746055092672501,0.0384112916470096,1
2.6,0.69946868501572,0.0348605506027659,1
2.6,0.581256231076134,0.0241323048000499,1
2.4,0.389385185764895,0.0426515589697187,1
2.6,0.600692490313308,0.0581320349847732,1
2.6,0.489063944121042,0.0381534025228098,1
2.6,0.626573198708108,0.0469400061288559,1
2.8,0.506013957709448,0.105190578359964,1
2.8,0.76416853256245,0.0409519589651199,1
2.6,0.709905259506103,0.0768595952340791,1
2.8,0.82435800324015,0.0218282874868507,1
3,0.64554365905493,0.0307784575813681,1
2.4,0.764654844120527,0.102783211637571,1
2.2,0.631090043431951,0.0913724977846153,1
2.6,0.516130052473905,0.0589425380463407,1
2.6,0.871655857709432,0.00816272787996929,1
2.8,0.801432435467255,0.0304699055399578,1
2.2,0.698503605714812,0.0199968673814223,1
2.4,0.459214707900526,0.124175329541864,1
2.4,0.79389513676439,0.0616006003683464,1
3,0.913127588016426,0.0426017616086757,1
2.6,0.429096047063021,0.0232315229501293,1
2.6,0.508027703861235,0.0611420874377176,1
2.6,0.619933353850716,0.0369455188767073,1
2.6,0.464596243424118,0.0373990554671723,1
2.4,0.805641069987442,0.0557590361933797,1
3,0.564337057718199,0.0532195343201956,1
2.8,0.441207779089163,0.0784667790251004,1
2.4,0.956671057710861,0.0627202869712727,1
2.8,0.57097957068848,0.0302385979287279,1
2.4,0.673872683705877,0.0351726319648613,1
2.6,0.700880391034157,0.0709577233360751,1
2.6,0.707730106413049,0.082015818214268,1
2.4,0.420271746883936,0.0462259768891512,1
2.6,0.744759642641646,0.0238086339137069,1
2.6,0.572981341596383,0.033269583176816,1
2.8,0.735679200946097,0.0945064116585123,1
3,0.741200620346318,0.0576376078853143,1
2.6,0.501471355900959,0.0284841673603007,1
2.6,0.502133204103636,0.0606787746979446,1
2.6,0.766430419071436,0.0410479876853491,1
2.8,0.624860668933301,0.0760293356313341,1
2.4,0.551726900365678,0.0514629345285665,1
2.6,0.763989343204862,0.0289190246994778,1
3,0.670456926468285,0.0647999332553367,1
3,0.814524128886668,0.0531976892100072,1
2.8,0.792348330102853,0.0493118897063318,1
2.8,0.814198578782827,0.0517793665481249,1
3,0.718346823932676,0.0422383429620927,1
2.8,0.832660825629824,0.0466028472865901,1
2.8,0.679853039256678,0.0733166196008132,1
3,0.638083168195257,0.0377406946641118,1
2.2,0.586536618938171,0.0408100806091291,1
2.6,0.676514605407007,0.0548436108726349,1
2.4,0.861858548211502,0.0590338296401654,1
2.6,0.806779141593744,0.0885425870542409,1
2.6,0.672428888543645,0.0842151448243015,1
2.6,0.545924733840123,0.0195830678164064,1
2.8,0.838572774855213,0.0475821076309692,1
2.6,0.673230436162786,0.0714780216056326,1
2.8,0.825309077402506,0.135136346066242,1
2.8,0.622362025182076,0.04966856006581,1
2.6,0.686788615358706,0.0264152304187979,1
3,0.591812812408591,0.0520369194803391,1
2.4,0.669250121594376,0.0640993361989697,1
3,0.748688959247855,0.0309196707149614,1
2.2,0.562047759859142,0.10180150244139,1
2.6,0.687212688757673,0.0777983271178374,1
2.6,0.555731840088655,0.0600722252610266,1
2.6,0.430330579441385,0.0261670291825042,1
2.8,0.654951289203591,0.0349924368754589,1
2.6,0.688982858024216,0.0663480684118288,1
2.8,0.919596054060411,0.0453219188483997,1
2.8,0.69764183941274,0.0840009814613216,1
2.6,0.716434047030696,0.0559561864623881,1
2.8,0.543441410362342,0.0871003614755975,1
2.6,0.675599355090257,0.0239660527529417,1
2.4,0.805239113740129,0.0277081053950699,1
2.4,0.707596896787658,0.072918478401504,1
2.8,0.698579380329883,0.0329596457923396,1
2.8,0.899580242757316,0.0502242881575316,1
3,0.587846843849527,0.0210380434113379,1
2.8,0.68279952962749,0.0298713262068588,1
2.8,0.698178365278567,0.0270970910411662,1
3,0.749379293916194,0.0684512148010239,1
3,0.664268705039816,0.0380364379910948,1
2.6,0.66244299154279,0.0603160949093136,1
2.2,0.610983399858387,0.0285845498371857,1
2.6,0.688488812680375,0.0632285647573048,1
3,0.498475179599107,0.0420236216759535,1
2.8,0.761521089705884,0.0682280983394947,1
2.6,0.676063591375319,0.0256834413695027,1
2.4,0.48610997224118,0.0323986785718225,1
2.8,0.876230324013558,0.0418418225021188,1
2.6,0.629913161312892,0.0376886029158641,1
2.6,0.918044797674618,0.0873661050582847,1
2.4,0.48924498326389,0.0813134073610072,1
