S,fit,comphet,landscape
2.8,0.66314352192525,0.0577772426300284,1
3,0.528411418671286,0.020796064286801,1
2.2,0.548971066921195,0.0844152010261903,1
2.6,0.633051696072009,0.0453879114630639,1
2.6,0.609693607759324,0.0213010379138346,1
2.4,0.430191927276992,0.0225289018117765,1
2.8,0.727024478994769,0.0305335807592531,1
3,0.489289202525833,0.0486002414886977,1
2.4,0.614004901587949,0.0569213090584347,1
2.8,0.702915388660418,0.0157710025227329,1
3,0.508030791929566,0.0673446572771436,1
2.6,0.538130443213595,0.0369425802413757,1
2.8,0.351214581970855,0.0956683317515889,1
2.4,0.574292069025455,0.0368195502573222,1
2.6,0.910377515625479,0.0589570137392959,1
3,0.586235561148712,0.0689637325334154,1
2.6,0.594984343084757,0.0782543374396603,1
2.6,0.598562589621695,0.0433749532982999,1
3,0.497986763542628,0.0759658694374626,1
2.4,0.436286080407881,0.0226029860873844,1
2.4,0.645093777720047,0.0531564728096983,1
2.6,0.492378030624491,0.0765811988176222,1
2.8,0.443926931152559,0.058704047061551,1
2.4,0.563873304946617,0.0200312185357128,1
3,0.887651821525341,0.063893999106358,1
2.8,0.508871498827718,0.0960686292694986,1
2.8,0.860025379049181,0.109660637565464,1
2.6,0.599930584491747,0.0550000335240757,1
3,0.965299482120993,0.0748529454198725,1
2.6,0.889886105205453,0.053888914619259,1
2.4,0.745787747805911,0.0432369563673868,1
2.4,0.804797537730995,0.116872014579681,1
2.8,0.395936674504708,0.0172434940479159,1
2.2,0.782521777920837,0.052748566893543,1
2.8,0.841200307355733,0.0853780738598409,1
2.8,0.671763892725795,0.0389141327912263,1
2.6,0.703079100847954,0.0390497440705088,1
2.8,0.789970322136711,0.0694438055609748,1
2.8,0.845552143154169,0.0388695402594583,1
3,1.01492873588195,0.0222122027567425,1
2.8,0.731904269215383,0.0323688188343401,1
3,0.55431148195321,0.0536936675909433,1
2.8,0.499756275097858,0.0605266305775657,1
2.6,0.729407218859216,0.0546480763042401,1
2.4,0.599332884292112,0.0568364431616324,1
2.6,0.562348089818157,0.0515260631432021,1
2.4,0.53126846889554,0.0437498613613509,1
2.8,0.858494017203362,0.0676912608860492,1
2.4,0.617459450939954,0.146990576744433,1
2.6,0.502989519067327,0.0213309411514191,1
2.8,0.770434130952554,0.101920011742483,1
2.8,0.606925513058372,0.055390498179931,1
2.8,0.554784694154189,0.0698035659158397,1
2.8,0.640404979548408,0.0138207563850066,1
2.6,0.564211544508778,0.0378761362092852,1
