S,fit,comphet,landscape
2,0.992834726580231,0.0785990665030297,1
2,1.92057882415015,0.0521719870377169,1
4,1.00794397986179,0.0442715971022839,1
3,0.583741242005707,0.0395300259752353,1
3,1.05805901550321,0.0423781689413789,1
2,2.13966814876027,0.0453195828248726,1
2.8,1.94226220053992,0.0371294683825608,1
3,0.9239239606636,0.0303253254449764,1
3,0.782057136237169,0.0471738942255197,1
3.2,0.78934238157832,0.0462443479591574,1
3.2,2.8941891927081,0.0645679341019642,1
4,2.10968493946631,0.0128259482260493,1
3,0.712709322214542,0.0431835243320291,1
3,0.977385235918818,0.0226834263978122,1
3,1.05084429337468,0.0240906694308723,1
4,1.34134219834337,0.0473913605950983,1
3.4,1.29659457525788,0.0405250493628127,1
3,0.843404720742899,0.0348001025046627,1
3,0.473364953588038,0.0778141195129827,1
3,0.827791523281327,0.0128124764040522,1
3,1.04192629970859,0.0444295861983467,1
4,1.38313547531236,0.0652749709742074,1
4,0.979194300098805,0.0391420007970751,1
3,0.757832328632311,0.0513964875356808,1
4,1.2565956091945,0.026717697689946,1
2.4,0.579720610805884,0.122150341309014,2
3,0.882636085244556,0.0558359529974032,2
4,0.874784137387271,0.0306551492344979,2
4,1.05255713512351,0.00730817484248198,2
4,1.49925650404373,0.0013034425240355,2
2.8,0.472614546997691,0.0801602048611676,2
3,0.627016962976846,0.0418252817609952,2
4,1.0717318165301,0.0172043317182322,2
4,1.6563970193866,0.0180921512503222,2
3,1.54154648911618,0.0249377387420141,2
3,0.658356127253566,0.0342066845685903,2
4,0.950103320358597,0.0229033510221437,2
3.6,2.77653523569451,0.047695871399092,2
3,2.64064342420335,0.0324341528849165,2
3,2.26739819514771,0.0266573532796116,2
3,0.727605854536387,0.0289975526487081,2
4,1.21841289964457,0.0147463771576274,2
3,1.68980978507755,0.0233187859672223,2
2.8,1.79911922575236,0.0628491735692131,2
3.8,2.28747474274418,0.0204750127976251,2
2.6,0.462924881083466,0.0818060000634372,2
4,1.10717006228871,0.00841714207771087,2
3,2.85368943846703,0.0437961806265872,2
3.2,2.05965082736646,0.0363979155342877,2
4,1.55153424076652,0.00194402303626685,2
3,1.40677783221693,0.0669518527512497,3
3,1.91385831946234,0.0545824144940301,3
3,1.70322498382565,0.0543655035010512,3
2.2,0.887818064861311,0.0870770977998563,3
2.4,0.591143097972817,0.0590002378006257,3
4,1.4103187997253,0.0197544949322962,3
4,1.75477681751854,0.0335102418962694,3
4,2.20177374792934,0.0470312999824608,3
4,1.47462459276373,0.0139193861757923,3
3,1.22176117434219,0.039812867572663,3
3,0.578842344939775,0.0394887310019387,3
3,0.618605088538808,0.0543484758826178,3
3.2,0.828256401694553,0.0277855314439708,3
3,0.712857619887509,0.0403993621195132,3
4,1.49380577020633,0.0241699656486377,3
3.6,0.941877876584502,0.013359044488879,3
3,0.608472377013438,0.0600314465569277,3
3,0.584021934357063,0.0810954257212288,3
3.2,0.967151856650386,0.04528832581971,3
3.4,1.01567162021771,0.0187654524445733,3
4,1.1363909232734,0.0159839463869544,3
3,0.777398730293564,0.0338924935177235,3
3,0.987772533641197,0.0260335297191993,3
3,0.892287555003994,0.0646569242334497,3
4,1.77454731110797,0.00252520164742257,3
3,3.61571993359733,0.0345103320521507,4
3,4.27653550116673,0.0368311800447757,4
2.4,1.27633311612767,0.13423266177633,4
3.2,2.15569589083344,0.0477472514937877,4
4,2.00282490784586,0.0202653111977216,4
3.2,3.34116430694054,0.038554206355459,4
3,2.63272736500348,0.0391425052970978,4
3,1.82714510338963,0.0293708511247768,4
4,2.55956456519441,0.0104736063186325,4
4,1.77494117902578,0.00774714619844598,4
3,2.84173811559798,0.0353188854724312,4
4,2.59206737909762,0.00372376217204146,4
4,1.45357839840741,0.00377554584758863,4
3.6,1.00393232556813,0.0267745981792861,4
3.4,1.2969242608149,0.0411331526650392,4
3.6,2.93975760076107,0.0340556251264631,4
4,1.11625963914818,0.0269287381550106,4
3,0.58935531802244,0.0449806189903406,4
2.2,0.558989378335124,0.0915967598421544,4
3,0.872600482932264,0.076109274588848,4
3.2,3.14101209240826,0.052154568722469,4
3.4,0.827466221197504,0.0330817164755128,4
3.2,1.08200565191249,0.0256378496265207,4
2,0.401113372725602,0.289154369304263,4
2,0.301740479100796,0.351024969733232,4
4,0.96223441695307,0.0190423251317777,5
4,1.33869198801545,0.0122052444012786,5
3.4,0.796537672421361,0.012916334157891,5
3,2.51287225441348,0.0190580250667768,5
2,1.00543355039772,0.0664641775217164,5
3,0.782060359455078,0.0583107345525898,5
4,1.30798534635604,0.0116984293980288,5
3.6,1.83498720382615,0.0487814596314168,5
3.8,1.70000855783688,0.0228064089652116,5
3,1.86168766789581,0.0658554274464301,5
3.4,0.983068091289576,0.0294146126363586,5
4,1.33790807395498,0.0216446038174726,5
4,1.33830230647733,0.00726122186213872,5
3.6,1.64641209275904,0.0388213318933282,5
3,2.40675537696909,0.0411163374280139,5
