S,fit,comphet,landscape
1.6,0.239024886464105,0.471046693495514,1
2,0.659968800825204,0.27476704562527,1
2,0.689859021976954,0.100156823816407,1
2,0.184516577394015,0.387240308235551,1
2,2.49812861984039,0.0215619388174722,1
2.2,4.09662679783212,0.0581141450303354,1
3.2,2.16968526059305,0.104069147165888,1
3,1.10899047907033,0.0426710278336438,1
3,0.779009782913395,0.0163090709655633,1
3,1.70752328295105,0.0391502136886889,1
3,0.670133613117882,0.0253010826709418,1
3,1.03432434073934,0.0032100506741733,1
3,1.018205903332,0.0408281391578882,1
2,2.78623814755039,0.0340545371434827,1
2,2.08078018875779,0.0770862674277907,1
2,1.239094639931,0.0728930438820865,1
2,2.48627726667381,0.132379318313279,1
2,2.02440837496453,0.0725795315617018,1
2,4.91141587049871,0.0893034537895681,1
2.6,1.30358750389453,0.149929703130046,1
3,0.757297704515869,0.0119437366769571,1
2.6,0.484828169476928,0.100462565114191,1
2,0.591962768801965,0.0917382753433037,1
3,0.758941527773873,0.0353206550580617,1
3,0.862804917094873,0.0140815133638938,1
3,0.773046797060424,0.0454572996511645,1
2.2,2.53329206450274,0.0731780910646935,1
2,2.85121524522105,0.0798037881379049,1
2,1.37828190972041,0.112195261823478,1
2,1.57213532488229,0.0155592806087914,1
2,3.97039582334473,0.0679656528764435,1
3.4,0.927749853377058,0.0893900012351731,1
3.4,0.779013041858866,0.0576746474136108,1
2.6,0.617162701780092,0.0821994587516307,1
1.4,0.206498606465734,0.343830959567756,1
1,0.115717231670446,0.355188099076766,1
2.2,0.219296232114747,0.140417086032587,1
3,0.507622577216454,0.0238897491250252,1
2.8,0.929198434856189,0.01957420368645,1
2,2.91741093409782,0.0899332283775832,1
2,1.84590972749689,0.0832672012032138,1
2,0.604956231487652,0.131051136265267,1
2,3.77021336068675,0.0843659762648911,1
2.2,3.26042757119181,0.057980706064267,1
3.4,2.28365069959282,0.0430559339833112,1
3,1.03447219566489,0.0408004145181296,1
2.8,0.631982599993701,0.050254993385116,1
1.6,0.193856376923742,0.180483186836495,1
1.2,0.251462252220333,0.29710136243702,1
2,0.36051316484001,0.276409746236916,1
1.8,0.375790034879693,0.232116598529488,1
3,0.851696747733048,0.0127178156318829,1
2,2.50259019739439,0.0426390316766241,1
2,0.509511604531471,0.181460377843833,1
2,2.98084663522711,0.0983180628210532,1
2,3.83750531072915,0.081317770760427,1
2.6,3.92500924461673,0.048871108222114,1
3,1.42963583912781,0.0600607755968113,1
3,0.928751620469928,0.0171554363731939,1
3,1.01504509228091,0.0108276379343961,1
3,0.741232517088792,0.0238412191841039,1
3,1.30670728956945,0.0110147593477278,1
3,0.732051133148507,0.0421014196518566,1
1.6,0.320499648053666,0.153527184186618,1
3,0.983013855655911,0.0104283968114599,1
2,2.844698774844,0.0766964242126111,1
2,1.19703371239551,0.0834084489829854,1
2.2,3.4429500901282,0.0674335588489157,1
2,1.30391514818725,0.0703896177192054,1
2.8,1.98197726127618,0.0866241808712102,1
3,0.98855170797834,0.00896521620955781,1
3,0.767004793451548,0.00706188181111104,1
2.8,0.779155623425296,0.071635218566518,1
3,0.917385814660728,0.0294349464502195,1
3,1.38562824241023,0.0227036721261886,1
3,0.873358653780166,0.06473701121506,1
3,0.873363590286627,0.0158638181883215,1
3,0.81889206739824,0.0295490794299911,1
2,5.67966317624857,0.0325666757239666,1
2,4.04525642373227,0.0759617130332808,1
2,3.04979542276002,0.00923379604350009,1
3,2.12240110787711,0.0699783288487746,1
3,1.42286420287011,0.0296837571533158,1
3,0.892135631431559,0.00834670799318071,1
2,0.514589921579743,0.125735926111231,1
1.4,0.163472601725875,0.18174559311626,1
3,0.959486043064379,0.0268648756891617,1
3,0.894647956051184,0.017876122294145,1
3,1.18023301749934,0.0418708020273326,1
3,0.937729688161766,0.0150162595071222,1
3,0.841864038164968,0.00859903841080136,1
2.6,1.51161662958012,0.117009236182935,1
3,2.01303925531426,0.0598259475864907,1
3.4,1.80156613002872,0.0539051644192179,1
3,1.08069144485747,0.0521463475407919,1
3,0.986042645527372,0.00644639742371148,1
3,1.36430278926357,0.0454816486532059,1
2.4,0.680773818753397,0.0525484651737481,1
1.6,0.247424224300832,0.210516541324873,1
3,0.694657482433591,0.0501019854324429,1
3,0.791196112233576,0.0112776413920626,1
3,1.16529726060444,0.0469528860449395,1
3,0.853472082402565,0.00649565535968355,1
3,0.830030375422003,0.00975302628143483,1
3.2,0.860316603637641,0.0579689094363735,1
3.4,1.71695286761529,0.0570052539321123,1
3,0.801161476652389,0.0405978673688117,1
3,0.876341105767529,0.0278580554077003,1
3,1.04311054537486,0.00556611923604865,1
3,0.922691537011703,0.0522267594806428,1
3,0.470215198615718,0.00841370382827224,1
2.4,0.406873835034014,0.116017829628122,1
1.6,0.201482058767951,0.266067491552269,1
2.8,0.404161927070644,0.07784061059018,1
3,0.716449698704474,0.00902157933008869,1
3,0.623416335194087,0.0223681232196696,1
3,1.23785817595534,0.0430492051330579,1
3,1.47909429957472,0.0358224494829116,1
2.8,0.900409761417168,0.0281201858874092,1
3,1.39008786908068,0.0481256289923856,1
3,1.48446264017338,0.0785581687207194,1
3,0.973916174052419,0.017714036755799,1
3,1.30010089638244,0.0417936888148402,1
3,1.09366894558561,0.0417860206261077,1
3,1.22688130515238,0.0511172749306076,1
1,0.12254299744898,0.348430695928698,1
1.6,0.366615910887503,0.150368557789124,1
2.4,0.655198404878251,0.109792127244724,1
3,0.690427904679396,0.0497466617295667,1
3,0.867030515574994,0.0107315297740381,1
3,1.03031161608483,0.0509717184885683,1
3,0.858155720718575,0.0016154890381984,1
3,1.12545943309573,0.0471045739077756,1
2.8,1.92355942052239,0.079476276089271,1
3,1.00398827169994,0.0384642367596578,1
3.2,1.7608619047606,0.045364458919641,1
3.2,1.06471025203224,0.0319455605726915,1
3,1.51970860716676,0.0732931065990585,1
1.8,0.226589108196998,0.0972457609125819,1
1,0.054740546579743,0.189778599615438,1
3,0.647831594066307,0.042377595356862,1
2.6,0.514423772925607,0.0640036062812389,1
3,1.1191074768974,0.0091589766309948,1
3,1.14915378972158,0.00913282646369303,1
3,0.64376340052504,0.0571169670985011,1
3.4,1.22390463171275,0.0464367572211671,1
2.6,2.10474582351855,0.087903545615457,1
2.4,0.759156786332888,0.0702459583038978,1
2.6,1.06827386846524,0.0999635091804475,1
3,2.70969979251302,0.0810020053877138,1
3,1.32020877371339,0.0291969184577652,1
3,1.00006750991933,0.0155455965150896,1
2.2,0.466467631103865,0.0866680926616253,1
2.8,0.762362257274351,0.0280444858788167,1
3,1.29563652850223,0.0365559213527593,1
3.2,1.74866176800689,0.0364626494306112,1
3,0.865273021561471,0.0386072120231682,1
3,1.15949256639915,0.048773361711507,1
